nuts,July Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
TR82,20.203411
TR83,14.172741
TR90,44.690617
TRA1,24.595448
TRA2,34.6178
PL43,39.698498
PL51,45.27231
PL52,45.14516
PL61,43.635635
PL62,40.174805
PL63,42.365803
PL71,40.317688
PL72,43.015972
PL81,44.36273
PL82,49.63611
PL84,40.297276
PL91,39.323235
PL92,39.84571
PT11,17.204536
PT15,1.8467575
TRB1,8.078779
TRB2,8.812983
TRC1,2.4834247
RS12,31.344978
RS21,33.409245
RS22,29.804604
SE11,33.926147
SE12,37.509144
NL33,38.39545
NL34,35.600517
NL41,35.12485
NL42,35.61071
PL21,51.27421
UKM6,38.79315
TR22,9.6844225
TRC2,1.2023453
TRC3,0.9728474
UKC1,33.610542
UKC2,33.28255
UKD1,38.830555
UKD3,36.544834
UKD4,37.821342
UKD6,33.343052
UKD7,34.811794
UKE1,30.498701
UKE2,33.081974
UKE3,31.429966
RO41,41.48591
RO42,39.33519
RS11,33.67361
TR41,11.196432
TR42,20.031313
TR51,8.021197
TR52,6.6076636
TR61,7.0734158
TR62,9.779277
TR63,5.90251
TR71,7.415021
TR72,7.855495
TR81,31.984503
UKK1,30.504726
UKK2,31.028513
UKK3,31.364616
UKK4,34.10063
UKL1,36.996605
UKL2,36.879673
UKM5,33.286358
UKM7,37.654724
UKM8,39.87346
UKM9,36.992832
UKN0,33.783096
SE21,38.5239
SE22,36.32697
SE23,39.26636
SE31,38.822792
SE32,43.8853
SE33,46.263588
SI03,48.52884
SI04,54.050297
SK01,37.387447
SK02,39.165836
SK03,44.393333
SK04,46.77716
TR10,15.044561
TR21,19.435429
UKE4,34.909855
UKF1,30.892746
UKF2,27.447292
UKF3,30.041512
UKG1,31.038021
UKG2,32.241535
UKG3,29.95715
UKH1,27.404453
UKH2,27.161814
UKH3,26.517853
UKI3,28.653933
UKI4,28.653933
UKI5,27.510677
UKI6,29.864697
UKI7,27.840555
UKJ1,28.18827
UKJ2,27.498156
UKJ3,27.188974
UKJ4,28.340256
NO09,49.51483
NO0A,57.581608
NO0B,17.255302
HR05,37.400066
HR06,39.63556
NO02,48.28115
NO06,51.9118
NO07,47.18825
NO08,47.81011
