nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
FRI2,46.961197
ITC4,38.938107
ITF1,43.995773
ITF2,41.909206
ITF3,54.66793
ITF4,32.90807
ITF5,38.204
ITF6,56.500698
ITG1,41.455673
LT01,23.14841
LT02,23.27276
LU00,39.673187
PL22,23.56667
PL41,21.451416
PL42,25.427502
PT18,32.34932
PT20,0.0
PT30,0.0
RO11,27.533665
RO12,22.73801
RO21,20.542803
RO22,24.392822
RO31,24.609755
RO32,25.145657
ITH3,42.19048
ITH4,54.7912
ITH5,38.806877
ITI1,42.64281
ITI2,37.82322
ITI3,35.258793
ITI4,48.79151
LI00,56.434216
FI1D,18.3805
TR82,34.69996
TR83,33.26204
TR90,47.934666
TRA1,32.29651
TRA2,43.702614
PL43,23.000078
PL51,23.991297
PL52,21.026388
PL61,20.970139
PL62,23.414513
PL63,24.01519
PL71,20.534927
PL72,19.485798
PL81,20.645514
PL82,23.056612
PL84,20.615187
PL91,21.513985
PL92,20.717825
PT11,62.73252
PT15,31.000109
TRB1,50.153484
TRB2,55.67711
TRC1,53.29749
RS12,22.970377
RS21,28.842728
RS22,25.623672
SE11,21.878569
SE12,22.282759
NL33,30.870419
NL34,29.209444
NL41,30.108547
NL42,32.01197
PL21,23.2641
UKM6,55.245396
TR22,46.675945
TRC2,46.25625
TRC3,41.770954
UKC1,30.722404
UKC2,32.178207
UKD1,50.04853
UKD3,38.29187
UKD4,46.616207
UKD6,30.788189
UKD7,35.044003
UKE1,26.28552
UKE2,32.669865
UKE3,26.888042
RO41,27.578457
RO42,28.122526
RS11,25.454105
TR41,31.786194
TR42,39.484215
TR51,25.237015
TR52,33.00779
TR61,64.31542
TR62,62.45123
TR63,56.815613
TR71,27.66641
TR72,29.34431
TR81,41.78899
UKK1,31.021206
UKK2,35.40452
UKK3,40.983757
UKK4,38.88466
UKL1,47.5657
UKL2,40.66226
UKM5,33.79919
UKM7,44.729923
UKM8,55.50399
UKM9,44.557922
UKN0,38.198624
SE21,24.091833
SE22,26.738585
SE23,29.958462
SE31,24.83911
SE32,26.815489
SE33,25.937372
SI03,35.619278
SI04,49.12611
SK01,19.800873
SK02,23.068323
SK03,27.720285
SK04,22.906528
TR10,39.66037
TR21,37.734516
UKE4,32.275757
UKF1,27.493711
UKF2,25.153084
UKF3,24.333153
UKG1,29.48642
UKG2,29.59325
UKG3,27.801954
UKH1,25.542027
UKH2,25.346
UKH3,26.538258
UKI3,26.26375
UKI4,26.26375
UKI5,26.05294
UKI6,27.905825
UKI7,25.966137
UKJ1,26.926167
UKJ2,34.507004
UKJ3,34.03617
UKJ4,30.995487
NO09,58.018787
NO0A,86.48855
NO0B,30.196905
HR05,31.46417
HR06,30.26222
NO02,31.32091
NO06,50.821518
NO07,40.42516
NO08,38.138706
