nuts,July Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
HU23,35.004276
HU31,37.185722
HU32,39.981926
HU33,34.0211
IE04,33.94548
EE00,41.316433
EL30,1.9819846
EL41,1.8032458
EL43,1.2047044
EL51,17.951397
EL52,19.345387
FI20,32.598564
FR10,27.952469
FRB0,26.345427
FRC1,33.80576
FRC2,45.88028
FRD1,26.437176
FRD2,28.8137
FRE1,29.509928
FRE2,29.767332
FRF1,43.248283
NL13,39.132668
NL21,38.501213
NL22,37.77778
NL23,39.10125
NL31,38.531376
NL32,38.018486
ITG2,4.1389284
ITH1,58.799313
ITH2,57.950863
FRI3,23.197483
FRJ1,23.335165
FRJ2,30.661732
FRK1,33.177883
FRK2,41.61343
FRL0,18.91933
FRM0,6.4687405
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.9685966
TR32,2.2226188
TR33,5.5564704
HR03,22.85178
HR02,38.845047
HU11,31.296402
HU12,31.719458
HU21,33.133152
HU22,37.951538
PT16,7.0860014
PT17,2.1957786
FRF2,34.04447
FRF3,33.88922
FRG0,22.35597
FRH0,22.455278
FRI1,25.861738
FRI2,32.67027
ITC4,50.832035
ITF1,23.11107
ITF2,19.513695
ITF3,11.434331
ITF4,14.05219
ITF5,14.713509
ITF6,11.352689
ITG1,3.0284169
LT01,45.617992
LT02,44.15934
LU00,31.851046
PL22,51.191273
PL41,46.979527
PL42,46.663948
PT18,2.629862
PT20,0.0
PT30,0.0
RO11,49.347553
RO12,52.740982
RO21,48.597687
RO22,33.305496
RO31,47.703262
RO32,48.267006
ITH3,44.56916
ITH4,51.990185
ITH5,27.946562
ITI1,14.893907
ITI2,18.578587
ITI3,22.162241
ITI4,15.560661
LI00,89.761604
FI1D,42.15021
TR82,13.675378
TR83,11.025815
TR90,33.43266
TRA1,14.401828
TRA2,23.436628
PL43,42.78341
PL51,52.637794
PL52,52.01119
PL61,45.22937
PL62,45.637093
PL63,48.56752
PL71,48.374386
PL72,45.753395
PL81,51.611034
PL82,58.384624
PL84,45.29719
PL91,45.752884
PL92,46.286743
PT11,12.924392
PT15,1.2731186
TRB1,5.4259477
TRB2,6.5675817
TRC1,1.7396094
RS12,34.111805
RS21,35.4896
RS22,33.54106
SE11,37.31662
SE12,41.196327
NL33,40.124226
NL34,35.57984
NL41,35.669403
NL42,34.355614
PL21,56.22785
UKM6,38.759754
TR22,8.610979
TRC2,1.3782904
TRC3,0.7301306
UKC1,32.389645
UKC2,31.741209
UKD1,36.20861
UKD3,34.96537
UKD4,34.375305
UKD6,32.81239
UKD7,34.905334
UKE1,29.664413
UKE2,33.19237
UKE3,32.24762
RO41,40.646084
RO42,41.573746
RS11,36.377472
TR41,9.444232
TR42,18.103657
TR51,5.243663
TR52,4.964143
TR61,5.0540895
TR62,7.646266
TR63,3.906891
TR71,5.7183385
TR72,6.1978664
TR81,25.228619
UKK1,30.614683
UKK2,30.185846
UKK3,28.897833
UKK4,30.973862
UKL1,35.317123
UKL2,34.750996
UKM5,33.44977
UKM7,36.453365
UKM8,39.06456
UKM9,36.578186
UKN0,33.722637
SE21,42.513424
SE22,37.96561
SE23,46.9999
SE31,41.524773
SE32,46.566547
SE33,52.48185
SI03,50.440086
SI04,46.294624
SK01,45.154823
SK02,42.738983
SK03,47.589058
SK04,53.221054
TR10,15.081459
TR21,15.65803
UKE4,33.742683
UKF1,31.768538
UKF2,29.164474
UKF3,29.491224
UKG1,30.792482
UKG2,31.933777
UKG3,31.400187
UKH1,27.226255
UKH2,26.792566
UKH3,27.905529
UKI3,26.03752
UKI4,26.03752
UKI5,26.80156
UKI6,27.047953
UKI7,25.893856
UKJ1,28.521484
UKJ2,25.287466
UKJ3,27.810204
UKJ4,28.432777
NO09,48.188713
NO0A,62.161392
NO0B,21.724318
HR05,44.94025
HR06,46.675365
NO02,50.708874
NO06,55.898876
NO07,49.16073
NO08,48.49784
