nuts,May Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
HU22,34.96343
PT16,39.23892
PT17,26.894701
FRF2,36.305676
FRF3,40.29858
FRG0,32.231724
FRH0,32.90661
FRI1,41.72537
FRI2,44.69276
ITC4,59.910713
ITF1,37.906006
ITF2,33.22032
ITF3,35.105175
ITF4,20.922077
ITF5,24.678545
ITF6,25.457321
ITG1,15.615342
LT01,31.121874
LT02,29.434448
LU00,34.602776
PL22,39.139168
PL41,26.870928
PL42,27.53817
PT18,24.944965
PT20,0.0
PT30,0.0
RO11,42.553837
RO12,44.147842
RO21,36.335007
RO22,30.11118
RO31,37.57069
RO32,36.41074
ITH3,56.886166
ITH4,70.748665
ITH5,42.892506
ITI1,37.06993
ITI2,37.84593
ITI3,35.501785
ITI4,37.487675
LI00,79.54661
FI1D,26.394596
TR82,35.656723
TR83,35.068714
TR90,54.503796
TRA1,44.799374
TRA2,44.903564
PL43,28.199713
PL51,31.312647
PL52,32.94829
PL61,27.771795
PL62,30.773678
PL63,28.945198
PL71,32.66669
PL72,35.093437
PL81,33.923306
PL82,40.018997
PL84,31.486717
PL91,31.972126
PL92,32.102005
PT11,47.646988
PT15,19.55582
TRB1,39.652775
TRB2,44.58721
TRC1,25.843645
RS12,35.468967
RS21,42.824467
RS22,37.878834
SE11,20.213194
SE12,24.787462
NL33,29.520107
NL34,30.117418
NL41,30.206661
NL42,30.318169
PL21,45.641933
UKM6,34.991768
TR22,24.74705
TRC2,24.626228
TRC3,22.250189
UKC1,27.273104
UKC2,27.31793
UKD1,33.675133
UKD3,32.418385
UKD4,33.1621
UKD6,29.352356
UKD7,29.889801
UKE1,24.819483
UKE2,28.135319
UKE3,26.702251
RO41,44.155502
RO42,45.67534
RS11,38.488796
TR41,25.350754
TR42,33.171463
TR51,22.359539
TR52,22.570183
TR61,26.46344
TR62,34.078037
TR63,31.890152
TR71,25.858248
TR72,33.908466
TR81,39.57928
UKK1,30.641882
UKK2,30.60764
UKK3,31.278975
UKK4,33.02499
UKL1,34.973316
UKL2,34.344448
UKM5,28.886034
UKM7,33.301266
UKM8,37.04275
UKM9,32.725353
UKN0,31.14438
SE21,25.07925
SE22,25.324583
SE23,28.473175
SE31,29.250801
SE32,28.496185
SE33,26.831608
SI03,48.42223
SI04,57.47484
SK01,35.22837
SK02,37.08248
SK03,45.549164
SK04,43.51583
TR10,20.91535
TR21,23.70755
UKE4,28.756989
UKF1,28.020716
UKF2,28.487404
UKF3,26.9408
UKG1,30.85144
UKG2,30.947437
UKG3,29.931664
UKH1,26.937677
UKH2,29.576115
UKH3,27.490255
UKI3,27.45938
UKI4,27.45938
UKI5,28.12998
UKI6,28.39444
UKI7,27.662266
UKJ1,28.929537
UKJ2,28.564327
UKJ3,27.911827
UKJ4,30.23658
NO09,42.141724
NO0A,48.788136
NO0B,20.162378
HR05,41.84144
HR06,40.567505
NO02,36.57263
NO06,38.264256
NO07,32.940136
NO08,38.481487
