nuts,March Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
EL52,38.755684
FI20,15.245064
FR10,25.653448
FRB0,26.888035
FRC1,32.903492
FRC2,48.69822
FRD1,29.00643
FRD2,26.967644
FRE1,26.433872
FRE2,26.901241
FRF1,38.232437
NL13,24.84077
NL21,26.568789
NL22,27.058088
NL23,26.879805
NL31,27.314363
NL32,26.654188
ITG2,32.545795
ITH1,39.751724
ITH2,45.591896
FRI3,29.708332
FRJ1,40.271942
FRJ2,38.714706
FRK1,33.43976
FRK2,45.06131
FRL0,37.36008
FRM0,39.383038
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,46.500996
TR32,44.359173
TR33,33.01778
HR03,53.406353
HR02,34.069973
HU11,19.647415
HU12,20.982208
HU21,22.291977
HU22,24.775352
PT16,40.10848
PT17,32.687077
FRF2,31.698591
FRF3,36.388645
FRG0,28.29912
FRH0,31.139526
FRI1,38.21019
FRI2,38.343082
ITC4,46.73477
ITF1,44.80997
ITF2,41.788147
ITF3,52.495815
ITF4,35.110367
ITF5,41.3157
ITF6,51.68012
ITG1,32.410896
LT01,20.91292
LT02,20.863691
LU00,31.698826
PL22,26.742191
PL41,21.937197
PL42,24.265842
PT18,30.200548
PT20,0.0
PT30,0.0
RO11,30.598675
RO12,29.321789
RO21,27.857407
RO22,26.0858
RO31,28.093094
RO32,27.910765
ITH3,47.610992
ITH4,61.20729
ITH5,45.509094
ITI1,41.49751
ITI2,45.16247
ITI3,42.65578
ITI4,48.293377
LI00,59.041824
FI1D,16.865204
TR82,36.479275
TR83,36.59222
TR90,45.012966
TRA1,36.766087
TRA2,34.694416
PL43,23.270233
PL51,25.80898
PL52,23.886631
PL61,19.360458
PL62,20.947605
PL63,21.194471
PL71,22.349442
PL72,23.056568
PL81,21.862644
PL82,25.72221
PL84,20.408699
PL91,20.207298
PL92,20.448112
PT11,48.87934
PT15,31.529427
TRB1,48.643093
TRB2,60.794685
TRC1,43.672707
RS12,25.920486
RS21,35.308968
RS22,31.091711
SE11,16.57051
SE12,18.09981
NL33,26.877441
NL34,25.08585
NL41,26.13829
NL42,27.740294
PL21,27.742498
UKM6,44.854282
TR22,39.702377
TRC2,41.71896
TRC3,41.786583
UKC1,25.912106
UKC2,25.981308
UKD1,37.441345
UKD3,32.97417
UKD4,36.572926
UKD6,26.997002
UKD7,29.62083
UKE1,23.07703
UKE2,27.009434
UKE3,24.541412
RO41,32.028084
RO42,31.687836
RS11,31.697681
TR41,34.11721
TR42,40.91313
TR51,26.55607
TR52,27.845411
TR61,41.73787
TR62,48.90769
TR63,51.165512
TR71,28.757973
TR72,32.283146
TR81,42.320797
UKK1,26.43085
UKK2,28.028399
UKK3,31.711096
UKK4,30.228941
UKL1,36.484997
UKL2,32.559914
UKM5,30.436663
UKM7,38.557617
UKM8,44.553967
UKM9,36.748512
UKN0,31.107752
SE21,18.783642
SE22,20.956646
SE23,22.715576
SE31,20.59886
SE32,22.616114
SE33,22.585236
SI03,40.049683
SI04,55.124676
SK01,22.959946
SK02,24.03754
SK03,28.27946
SK04,24.881863
TR10,35.291744
TR21,35.378387
UKE4,27.32835
UKF1,24.32396
UKF2,21.934269
UKF3,21.259827
UKG1,23.655912
UKG2,25.522514
UKG3,23.489868
UKH1,21.763233
UKH2,21.753815
UKH3,20.270985
UKI3,22.064781
UKI4,22.064781
UKI5,21.483944
UKI6,21.936232
UKI7,22.029783
UKJ1,23.47653
UKJ2,23.96891
UKJ3,25.167326
UKJ4,22.103653
NO09,47.2821
NO0A,66.48039
NO0B,29.671648
HR05,33.857452
HR06,33.16224
NO02,27.052711
NO06,45.006943
NO07,37.559547
NO08,31.902756
