nuts,February Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
RO32,26.135523
ITH3,46.500805
ITH4,58.80291
ITH5,45.44318
ITI1,45.08357
ITI2,46.21164
ITI3,41.057228
ITI4,55.840782
LI00,56.790565
FI1D,17.70991
TR82,32.11092
TR83,30.880253
TR90,43.267612
TRA1,35.44711
TRA2,35.58969
PL43,21.372225
PL51,22.976685
PL52,20.64127
PL61,20.117008
PL62,21.449085
PL63,21.750017
PL71,20.24093
PL72,20.924316
PL81,21.493223
PL82,26.331892
PL84,20.96712
PL91,21.039425
PL92,21.11627
PT11,56.780113
PT15,28.25459
TRB1,49.631992
TRB2,57.895897
TRC1,44.824818
RS12,30.291306
RS21,32.52867
RS22,29.291433
SE11,19.218765
SE12,19.63811
NL33,27.610964
NL34,26.524426
NL41,28.753128
NL42,29.44374
PL21,25.304441
UKM6,47.73936
TR22,46.645058
TRC2,43.147392
TRC3,41.267303
UKC1,27.877148
UKC2,27.610125
UKD1,44.211227
UKD3,33.383896
UKD4,39.675953
UKD6,27.001953
UKD7,30.275879
UKE1,22.027647
UKE2,29.457993
UKE3,23.940525
RO41,27.63092
RO42,32.77221
RS11,31.520819
TR41,32.217915
TR42,38.048466
TR51,25.374323
TR52,26.671156
TR61,47.34779
TR62,49.01781
TR63,47.769886
TR71,25.611689
TR72,28.496809
TR81,40.625072
UKK1,24.390455
UKK2,28.351423
UKK3,36.301735
UKK4,32.425896
UKL1,39.56533
UKL2,32.835114
UKM5,32.34312
UKM7,39.670895
UKM8,49.44174
UKM9,41.565918
UKN0,33.59553
SE21,21.49245
SE22,22.745716
SE23,25.55281
SE31,20.898554
SE32,23.767004
SE33,24.23047
SI03,43.329082
SI04,56.682167
SK01,22.100018
SK02,24.453777
SK03,28.602972
SK04,26.70879
TR10,39.37659
TR21,39.035297
UKE4,29.256218
UKF1,23.476812
UKF2,20.086033
UKF3,20.176859
UKG1,23.049723
UKG2,25.59813
UKG3,23.198982
UKH1,20.799522
UKH2,20.929499
UKH3,22.34102
UKI3,23.368979
UKI4,23.368979
UKI5,22.57608
UKI6,24.230974
UKI7,22.825666
UKJ1,21.448265
UKJ2,28.112352
UKJ3,26.660791
UKJ4,25.878948
NO09,50.45001
NO0A,67.63421
NO0B,28.627089
HR05,35.76078
HR06,35.193096
NO02,26.356874
NO06,45.82092
NO07,40.375374
NO08,31.913473
