nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
FRK2,43.423447
FRL0,25.159279
FRM0,12.632966
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.651855
TR32,3.9292426
TR33,7.2861032
HR03,38.222626
HR02,36.209324
HU11,30.54355
HU12,32.670937
HU21,32.973984
HU22,36.60563
PT16,10.771775
PT17,4.359565
FRF2,34.70356
FRF3,36.349865
FRG0,23.519934
FRH0,24.691887
FRI1,37.442257
FRI2,35.69123
ITC4,55.173737
ITF1,25.77478
ITF2,20.401222
ITF3,14.975832
ITF4,12.330065
ITF5,13.634249
ITF6,15.723578
ITG1,8.462451
LT01,39.697613
LT02,39.919704
LU00,36.007355
PL22,47.117775
PL41,37.350243
PL42,35.439285
PT18,5.669576
PT20,0.0
PT30,0.0
RO11,40.1883
RO12,45.042503
RO21,36.524105
RO22,26.962383
RO31,33.77631
RO32,30.368256
ITH3,50.357685
ITH4,62.222294
ITH5,35.322777
ITI1,24.965603
ITI2,23.186682
ITI3,27.630024
ITI4,20.490213
LI00,88.73767
FI1D,37.671753
TR82,19.620052
TR83,13.627871
TR90,41.908787
TRA1,15.317399
TRA2,30.123352
PL43,36.9821
PL51,42.534336
PL52,37.992188
PL61,36.9192
PL62,36.058926
PL63,38.57012
PL71,35.040016
PL72,40.593773
PL81,41.190403
PL82,40.76327
PL84,38.01828
PL91,35.1532
PL92,34.927616
PT11,17.799652
PT15,3.1783526
TRB1,3.9944186
TRB2,5.16632
TRC1,1.3589253
RS12,29.09202
RS21,32.00346
RS22,29.710045
SE11,34.10225
SE12,35.483917
NL33,37.251877
NL34,35.531586
NL41,34.76408
NL42,32.917545
PL21,47.6786
UKM6,45.000122
TR22,6.896348
TRC2,0.8917717
TRC3,0.71688396
UKC1,33.879494
UKC2,33.84787
UKD1,41.827084
UKD3,38.412357
UKD4,41.67601
UKD6,33.626144
UKD7,37.777153
UKE1,30.182255
UKE2,34.96956
UKE3,31.80407
RO41,36.5374
RO42,37.281975
RS11,29.623869
TR41,11.278443
TR42,24.356836
TR51,7.4012804
TR52,4.0593467
TR61,6.471435
TR62,8.152773
TR63,3.7556958
TR71,4.1665916
TR72,5.515495
TR81,32.780582
UKK1,31.090195
UKK2,31.86746
UKK3,31.75095
UKK4,32.273766
UKL1,39.662766
UKL2,34.64345
UKM5,35.726395
UKM7,38.574776
UKM8,47.217403
UKM9,41.77237
UKN0,36.954697
SE21,35.24238
SE22,37.87416
SE23,41.38816
SE31,41.130043
SE32,42.945015
SE33,42.401134
SI03,51.36011
SI04,58.950016
SK01,37.605007
SK02,38.10474
SK03,43.90956
SK04,40.382507
TR10,19.836527
TR21,11.7967825
UKE4,35.635773
UKF1,31.372776
UKF2,28.816011
UKF3,29.728876
UKG1,29.130537
UKG2,30.193718
UKG3,29.509672
UKH1,29.17322
UKH2,29.03458
UKH3,28.249268
UKI3,28.405693
UKI4,28.405693
UKI5,28.943577
UKI6,30.339424
UKI7,29.210407
UKJ1,28.151403
UKJ2,30.690695
UKJ3,29.9829
UKJ4,30.60433
NO09,52.026512
NO0A,66.26858
NO0B,23.622824
HR05,39.93563
HR06,41.633404
NO02,46.12859
NO06,48.950485
NO07,42.808758
NO08,47.95987
