nuts,Winter Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
EL30,55.985706
EL41,76.12775
EL43,59.672028
EL51,64.57753
EL52,59.43861
FI20,27.895906
FR10,39.563595
FRB0,41.68688
FRC1,49.378983
FRC2,75.84233
FRD1,47.487354
FRD2,42.99579
FRE1,43.81243
FRE2,41.38138
FRF1,57.77668
NL13,37.761677
NL21,40.61636
NL22,41.493
NL23,40.730927
NL31,40.7622
NL32,41.79877
ITG2,49.017387
ITH1,58.54671
ITH2,68.93205
FRI3,49.04005
FRJ1,70.110695
FRJ2,62.01737
FRK1,53.049507
FRK2,73.319786
FRL0,69.090096
FRM0,61.75937
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,79.9805
TR32,80.73573
TR33,49.21705
HR03,87.82719
HR02,46.430676
HU11,31.08566
HU12,31.375654
HU21,33.750957
HU22,33.561928
PT16,79.1287
PT17,60.356415
FRF2,51.006325
FRF3,58.76724
FRG0,45.597176
FRH0,50.95923
FRI1,60.638374
FRI2,60.536865
ITC4,66.44839
ITF1,68.0585
ITF2,66.54186
ITF3,84.93689
ITF4,51.272644
ITF5,56.39348
ITF6,77.641106
ITG1,56.42368
LT01,28.398853
LT02,29.81316
LU00,51.250313
PL22,32.975334
PL41,27.865759
PL42,32.31406
PT18,58.3321
PT20,0.0
PT30,0.0
RO11,39.038223
RO12,33.431793
RO21,31.92509
RO22,37.64092
RO31,37.950115
RO32,36.877796
ITH3,67.46796
ITH4,93.27329
ITH5,61.247818
ITI1,64.44886
ITI2,58.971096
ITI3,57.30762
ITI4,75.222336
LI00,84.422066
FI1D,24.653122
TR82,50.901905
TR83,48.44597
TR90,64.974106
TRA1,48.280468
TRA2,59.220203
PL43,29.680012
PL51,31.984928
PL52,28.113432
PL61,26.857302
PL62,29.535473
PL63,30.865469
PL71,28.215696
PL72,26.86006
PL81,27.652704
PL82,31.266823
PL84,26.946436
PL91,28.035202
PL92,27.233294
PT11,93.28023
PT15,64.95801
TRB1,72.68203
TRB2,85.27978
TRC1,71.27418
RS12,34.437103
RS21,42.64634
RS22,39.4515
SE11,28.081663
SE12,28.54606
NL33,41.55236
NL34,40.98958
NL41,42.080364
NL42,43.611202
PL21,32.332996
UKM6,67.41604
TR22,65.07766
TRC2,65.33762
TRC3,61.504543
UKC1,41.06323
UKC2,41.607513
UKD1,61.15821
UKD3,47.05519
UKD4,55.89992
UKD6,38.441807
UKD7,43.685474
UKE1,32.99203
UKE2,41.809742
UKE3,35.036366
RO41,40.853058
RO42,41.11753
RS11,36.615982
TR41,48.058533
TR42,59.109863
TR51,37.36696
TR52,45.144485
TR61,84.43565
TR62,87.60486
TR63,77.20459
TR71,40.190502
TR72,42.93734
TR81,60.026024
UKK1,39.135174
UKK2,44.315884
UKK3,49.541546
UKK4,47.413227
UKL1,58.07437
UKL2,49.84107
UKM5,44.87392
UKM7,55.733944
UKM8,66.912476
UKM9,55.79329
UKN0,46.023247
SE21,29.8511
SE22,32.468384
SE23,38.720615
SE31,31.720922
SE32,34.564137
SE33,34.781464
SI03,55.746014
SI04,80.1567
SK01,29.787394
SK02,33.714584
SK03,39.177635
SK04,33.46639
TR10,59.024208
TR21,54.71129
UKE4,41.461407
UKF1,34.7499
UKF2,31.301847
UKF3,30.247814
UKG1,36.81817
UKG2,37.200275
UKG3,34.726006
UKH1,31.79815
UKH2,31.409464
UKH3,33.92266
UKI3,33.92837
UKI4,33.92837
UKI5,33.299034
UKI6,35.399242
UKI7,33.34747
UKJ1,34.12889
UKJ2,44.665695
UKJ3,42.942577
UKJ4,39.50121
NO09,73.232124
NO0A,111.289055
NO0B,41.83331
HR05,46.51478
HR06,45.032383
NO02,40.850994
NO06,70.07539
NO07,57.81243
NO08,47.826996
