nuts,September Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
RO22,33.641094
RO31,38.10941
RO32,40.081745
ITH3,65.425575
ITH4,84.338585
ITH5,49.10796
ITI1,51.052113
ITI2,41.656376
ITI3,37.646088
ITI4,49.20614
LI00,69.9171
FI1D,28.926855
TR82,28.31362
TR83,23.173069
TR90,51.685425
TRA1,20.926723
TRA2,21.99111
PL43,26.759193
PL51,30.168121
PL52,31.418636
PL61,27.08411
PL62,30.655495
PL63,32.325188
PL71,28.04054
PL72,33.62088
PL81,33.87545
PL82,41.335266
PL84,31.756968
PL91,29.244295
PL92,29.808365
PT11,43.699905
PT15,17.828224
TRB1,13.463447
TRB2,12.245435
TRC1,7.7656527
RS12,29.782116
RS21,34.93675
RS22,29.48131
SE11,28.431763
SE12,30.41288
NL33,36.79466
NL34,32.99911
NL41,31.5076
NL42,31.697605
PL21,40.149986
UKM6,51.441414
TR22,18.121414
TRC2,6.5367227
TRC3,6.8259845
UKC1,33.50958
UKC2,33.09034
UKD1,46.846184
UKD3,38.9336
UKD4,46.615696
UKD6,33.70277
UKD7,39.85443
UKE1,32.318367
UKE2,35.498016
UKE3,32.681873
RO41,37.53726
RO42,37.85146
RS11,31.945038
TR41,16.668713
TR42,28.896906
TR51,9.966356
TR52,8.544803
TR61,12.896197
TR62,17.032717
TR63,14.113289
TR71,9.795341
TR72,14.241442
TR81,37.933556
UKK1,32.805946
UKK2,35.615494
UKK3,36.06949
UKK4,36.040485
UKL1,45.411304
UKL2,39.377365
UKM5,35.510143
UKM7,42.546986
UKM8,52.811836
UKM9,43.674553
UKN0,37.305786
SE21,31.64149
SE22,33.360226
SE23,38.31087
SE31,36.145615
SE32,35.553524
SE33,34.117897
SI03,57.920086
SI04,72.29751
SK01,32.807312
SK02,33.330925
SK03,36.826035
SK04,36.690388
TR10,28.368866
TR21,24.07105
UKE4,35.317276
UKF1,32.35929
UKF2,30.07632
UKF3,31.35334
UKG1,32.02204
UKG2,32.078983
UKG3,32.22361
UKH1,28.72874
UKH2,26.907948
UKH3,25.68698
UKI3,24.752625
UKI4,24.752625
UKI5,25.148863
UKI6,25.889788
UKI7,26.060162
UKJ1,29.791615
UKJ2,32.11742
UKJ3,33.276817
UKJ4,28.079641
NO09,56.28799
NO0A,78.56087
NO0B,26.58109
HR05,45.148132
HR06,45.35331
NO02,40.917877
NO06,52.24372
NO07,45.522
NO08,44.02651
