nuts,Spring Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
PL92,39.33941
PT11,67.65099
PT15,38.716934
TRB1,64.79309
TRB2,79.53071
TRC1,50.894054
RS12,46.097332
RS21,55.703773
RS22,50.590557
SE11,30.004847
SE12,33.56549
NL33,36.8227
NL34,35.29946
NL41,36.738293
NL42,38.77568
PL21,53.08215
UKM6,52.38749
TR22,48.778095
TRC2,53.21967
TRC3,52.80161
UKC1,37.40733
UKC2,38.458107
UKD1,47.33661
UKD3,41.8672
UKD4,46.30363
UKD6,37.665424
UKD7,40.834713
UKE1,35.217606
UKE2,39.016518
UKE3,37.419846
RO41,55.76055
RO42,53.21954
RS11,50.4836
TR41,40.95969
TR42,50.23033
TR51,35.77344
TR52,35.20575
TR61,50.357635
TR62,57.046055
TR63,60.82264
TR71,37.589603
TR72,46.526382
TR81,56.6344
UKK1,39.026886
UKK2,39.866993
UKK3,41.959522
UKK4,42.4085
UKL1,47.549545
UKL2,44.05087
UKM5,41.48643
UKM7,48.024464
UKM8,54.2312
UKM9,46.779495
UKN0,40.81031
SE21,33.997944
SE22,34.391502
SE23,39.148003
SE31,39.11933
SE32,38.110725
SE33,37.584843
SI03,64.548195
SI04,78.955536
SK01,42.494244
SK02,45.636986
SK03,51.83329
SK04,49.586296
TR10,41.726788
TR21,45.15185
UKE4,40.03613
UKF1,37.14481
UKF2,35.930172
UKF3,34.416283
UKG1,37.16122
UKG2,37.31532
UKG3,37.937656
UKH1,33.760338
UKH2,34.3986
UKH3,34.166977
UKI3,34.31004
UKI4,34.31004
UKI5,34.810406
UKI6,35.703613
UKI7,34.67941
UKJ1,36.052185
UKJ2,36.718403
UKJ3,38.218758
UKJ4,35.788826
NO09,63.975536
NO0A,81.25071
NO0B,36.969982
HR05,54.303375
HR06,52.90039
NO02,48.164692
NO06,58.52536
NO07,51.49574
NO08,49.82007
