nuts,March Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
UKN0,32.358833
SE21,19.643736
SE22,22.333061
SE23,23.886623
SE31,21.061867
SE32,23.250835
SE33,22.89169
SI03,40.70066
SI04,51.79839
SK01,23.002096
SK02,25.07098
SK03,27.78749
SK04,25.412884
TR10,34.995495
TR21,34.042633
UKE4,30.34889
UKF1,26.254738
UKF2,24.014973
UKF3,22.989363
UKG1,26.182884
UKG2,27.531315
UKG3,25.78224
UKH1,22.821583
UKH2,22.853027
UKH3,21.158163
UKI3,21.164513
UKI4,21.164513
UKI5,20.960102
UKI6,21.884241
UKI7,22.421783
UKJ1,24.369938
UKJ2,25.145819
UKJ3,26.796188
UKJ4,22.706783
NO09,45.951065
NO0A,68.15542
NO0B,27.849144
HR05,32.189037
HR06,32.1852
NO02,26.87937
NO06,47.43458
NO07,38.509937
NO08,31.225407
