nuts,June Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
TR32,11.967803
TR33,18.338942
HR03,38.8869
HR02,43.94472
HU11,36.605034
HU12,36.754734
HU21,37.943897
HU22,39.016926
PT16,19.130814
PT17,10.766505
FRF2,34.97855
FRF3,38.989357
FRG0,27.026451
FRH0,29.986233
FRI1,38.19649
FRI2,39.60553
ITC4,59.665184
ITF1,35.93383
ITF2,30.845737
ITF3,23.20639
ITF4,17.355474
ITF5,20.08985
ITF6,18.257748
ITG1,10.125689
LT01,38.575
LT02,36.522015
LU00,36.769417
PL22,43.31429
PL41,34.26299
PL42,35.33555
PT18,12.350307
PT20,0.0
PT30,0.0
RO11,49.48486
RO12,51.14538
RO21,49.67176
RO22,36.128307
RO31,43.202522
RO32,43.102448
ITH3,56.93308
ITH4,70.37919
ITH5,40.542137
ITI1,31.813457
ITI2,32.128376
ITI3,35.77722
ITI4,30.290623
LI00,89.98048
FI1D,34.72192
TR82,34.484512
TR83,32.140263
TR90,51.6333
TRA1,32.21898
TRA2,42.653282
PL43,33.092697
PL51,38.912823
PL52,40.181095
PL61,33.688972
PL62,37.51124
PL63,36.34707
PL71,35.483665
PL72,37.10278
PL81,38.59249
PL82,43.88
PL84,36.759235
PL91,36.74283
PL92,36.627666
PT11,26.927055
PT15,8.241012
TRB1,19.164574
TRB2,21.846813
TRC1,8.402489
RS12,38.531944
RS21,40.96107
RS22,35.758526
SE11,31.50933
SE12,35.537388
NL33,32.9113
NL34,32.753323
NL41,34.110897
NL42,34.210007
PL21,45.013214
UKM6,36.895557
TR22,19.59578
TRC2,7.054626
TRC3,6.166406
UKC1,31.983418
UKC2,31.41214
UKD1,38.483273
UKD3,36.63605
UKD4,38.192516
UKD6,34.531174
UKD7,35.676804
UKE1,30.97283
UKE2,34.204994
UKE3,33.83068
RO41,44.439323
RO42,47.485516
RS11,38.274612
TR41,23.613611
TR42,33.259525
TR51,19.821346
TR52,16.942167
TR61,17.822954
TR62,22.430656
TR63,14.07845
TR71,19.422834
TR72,24.257614
TR81,40.265774
UKK1,28.687233
UKK2,29.65622
UKK3,31.005161
UKK4,32.961178
UKL1,36.92744
UKL2,36.53045
UKM5,32.682854
UKM7,34.220592
UKM8,37.13094
UKM9,35.306843
UKN0,33.83883
SE21,35.516563
SE22,34.59758
SE23,43.010475
SE31,41.398148
SE32,38.173523
SE33,36.047092
SI03,56.190758
SI04,60.637444
SK01,37.393574
SK02,40.543236
SK03,45.607586
SK04,45.448048
TR10,20.823193
TR21,24.227905
UKE4,35.61219
UKF1,32.696
UKF2,29.552847
UKF3,29.840458
UKG1,31.238033
UKG2,33.006943
UKG3,32.323948
UKH1,28.15951
UKH2,27.759127
UKH3,26.948294
UKI3,27.819023
UKI4,27.819023
UKI5,28.174019
UKI6,28.825926
UKI7,28.684013
UKJ1,28.87082
UKJ2,26.88748
UKJ3,27.704414
UKJ4,27.609383
NO09,45.434116
NO0A,52.60307
NO0B,16.931114
HR05,47.22193
HR06,46.98876
NO02,43.60131
NO06,45.227425
NO07,37.684715
NO08,43.77689
