nuts,November Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
FRK1,42.636036
FRK2,58.92106
FRL0,57.94085
FRM0,56.21456
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,66.47524
TR32,60.817955
TR33,36.870056
HR03,83.90572
HR02,39.408573
HU11,27.89952
HU12,28.457928
HU21,29.33045
HU22,28.846148
PT16,58.614017
PT17,47.556465
FRF2,36.988544
FRF3,40.013313
FRG0,32.893105
FRH0,36.735138
FRI1,46.608383
FRI2,43.352077
ITC4,63.8024
ITF1,56.043087
ITF2,53.000553
ITF3,75.96044
ITF4,42.952442
ITF5,44.140827
ITF6,58.68446
ITG1,39.057613
LT01,23.082073
LT02,24.927715
LU00,36.23019
PL22,28.351725
PL41,21.855587
PL42,24.463377
PT18,43.947716
PT20,0.0
PT30,36.812588
RO11,32.03686
RO12,26.126122
RO21,22.819403
RO22,26.194424
RO31,28.768068
RO32,27.664114
ITH3,62.5872
ITH4,91.98374
ITH5,54.451694
ITI1,60.698124
ITI2,56.066227
ITI3,46.354668
ITI4,72.126495
LI00,62.125633
FI1D,21.536274
TR82,38.25954
TR83,40.326145
TR90,59.180386
TRA1,42.31696
TRA2,31.87304
PL43,23.724737
PL51,25.90462
PL52,24.446423
PL61,21.224379
PL62,25.089834
PL63,25.037918
PL71,24.218117
PL72,23.742186
PL81,22.762846
PL82,26.807545
PL84,22.366684
PL91,24.038565
PL92,23.15229
PT11,68.56752
PT15,46.30298
TRB1,53.724636
TRB2,41.942978
TRC1,43.36361
RS12,28.947437
RS21,36.08411
RS22,34.327946
SE11,24.19288
SE12,23.861017
NL33,36.4262
NL34,33.248928
NL41,32.88863
NL42,33.789394
PL21,28.036015
UKM6,55.473335
TR22,53.553635
TRC2,43.306194
TRC3,48.48206
UKC1,32.451385
UKC2,32.669224
UKD1,50.163662
UKD3,38.947395
UKD4,47.938988
UKD6,33.443012
UKD7,40.142776
UKE1,27.100054
UKE2,33.496456
UKE3,29.13299
RO41,34.313152
RO42,33.404736
RS11,30.603634
TR41,33.170082
TR42,40.82459
TR51,29.698997
TR52,36.80699
TR61,61.268723
TR62,61.227207
TR63,48.928005
TR71,32.003445
TR72,36.477543
TR81,44.750034
UKK1,33.324497
UKK2,38.924217
UKK3,42.654797
UKK4,40.867794
UKL1,51.0845
UKL2,42.5012
UKM5,35.982323
UKM7,42.01857
UKM8,51.355522
UKM9,45.23808
UKN0,38.1611
SE21,26.532135
SE22,26.732407
SE23,31.42695
SE31,27.977427
SE32,28.935799
SE33,27.687155
SI03,51.860416
SI04,78.77385
SK01,25.367054
SK02,29.356611
SK03,32.95199
SK04,28.2598
TR10,45.639717
TR21,49.58522
UKE4,33.1931
UKF1,29.264559
UKF2,26.706831
UKF3,25.796112
UKG1,30.94226
UKG2,32.291866
UKG3,30.034462
UKH1,26.806545
UKH2,26.281475
UKH3,27.764977
UKI3,28.786886
UKI4,28.786886
UKI5,27.70759
UKI6,30.19587
UKI7,28.41712
UKJ1,28.920614
UKJ2,39.101593
UKJ3,38.057983
UKJ4,34.070084
NO09,60.053326
NO0A,80.11832
NO0B,32.72765
HR05,40.977615
HR06,38.9372
NO02,34.165913
NO06,47.87853
NO07,41.309536
NO08,40.842068
