nuts,October Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
HU23,28.678556
HU31,27.45887
HU32,28.543835
HU33,25.784042
IE04,50.981388
EE00,31.740337
EL30,27.888187
EL41,31.727764
EL43,28.335987
EL51,32.958466
EL52,40.30492
FI20,30.025827
FR10,33.438965
FRB0,34.46807
FRC1,43.043743
FRC2,55.772934
FRD1,40.040085
FRD2,38.231304
FRE1,37.717228
FRE2,35.49003
FRF1,45.15834
NL13,34.37646
NL21,34.54301
NL22,33.929188
NL23,38.30954
NL31,34.96598
NL32,47.142735
ITG2,37.110832
ITH1,52.31847
ITH2,69.428246
FRI3,39.62629
FRJ1,66.922455
FRJ2,45.040947
FRK1,45.987564
FRK2,61.198284
FRL0,62.215668
FRM0,50.8015
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,34.44651
TR32,29.842693
TR33,23.186031
HR03,74.30105
HR02,36.65913
HU11,25.902292
HU12,26.376629
HU21,26.102432
HU22,26.89262
PT16,60.482933
PT17,43.086952
FRF2,40.55027
FRF3,44.07055
FRG0,37.832577
FRH0,41.300846
FRI1,43.590324
FRI2,45.272305
ITC4,68.83594
ITF1,44.01357
ITF2,43.642258
ITF3,59.715263
ITF4,39.524902
ITF5,39.108135
ITF6,52.319893
ITG1,39.908436
LT01,27.583708
LT02,28.993761
LU00,40.17127
PL22,24.516167
PL41,20.260843
PL42,26.013182
PT18,40.791107
PT20,0.0
PT30,28.058285
RO11,34.277042
RO12,30.0225
RO21,25.220123
RO22,25.837244
RO31,28.324875
RO32,28.963007
ITH3,68.22712
ITH4,91.59745
ITH5,54.60094
ITI1,61.661316
ITI2,46.288055
ITI3,39.630257
ITI4,63.329636
LI00,54.818245
FI1D,26.045967
TR82,36.12971
TR83,35.363297
TR90,60.373165
TRA1,35.22138
TRA2,31.259079
PL43,21.212011
PL51,23.555883
PL52,21.886698
PL61,20.939707
PL62,25.181318
PL63,27.566183
PL71,20.306343
PL72,21.230602
PL81,22.09353
PL82,27.589392
PL84,23.162205
PL91,21.324638
PL92,21.137012
PT11,75.02232
PT15,37.96951
TRB1,39.296017
TRB2,30.486143
TRC1,32.697044
RS12,26.677885
RS21,30.545933
RS22,27.75439
SE11,26.502264
SE12,28.177347
NL33,38.735054
NL34,34.646805
NL41,33.803814
NL42,33.908863
PL21,25.769276
UKM6,58.493767
TR22,38.01007
TRC2,32.522614
TRC3,32.260605
UKC1,32.75542
UKC2,33.314346
UKD1,55.149952
UKD3,42.614864
UKD4,52.931248
UKD6,36.60744
UKD7,44.37464
UKE1,30.475683
UKE2,36.012314
UKE3,32.084885
RO41,30.374746
RO42,31.658985
RS11,27.062107
TR41,30.02941
TR42,40.14456
TR51,19.962004
TR52,20.856314
TR61,32.158672
TR62,38.374943
TR63,35.803085
TR71,22.05279
TR72,29.986536
TR81,44.387417
UKK1,37.258457
UKK2,43.76307
UKK3,46.325314
UKK4,45.18918
UKL1,56.26098
UKL2,47.803078
UKM5,43.27231
UKM7,49.248196
UKM8,60.05626
UKM9,51.95195
UKN0,44.08368
SE21,28.83711
SE22,30.797184
SE23,37.832714
SE31,32.64423
SE32,32.57392
SE33,30.494493
SI03,50.55296
SI04,74.78265
SK01,21.616753
SK02,25.303398
SK03,30.169529
SK04,28.615238
TR10,43.57819
TR21,36.090336
UKE4,36.435055
UKF1,33.044262
UKF2,31.377014
UKF3,30.785032
UKG1,35.253666
UKG2,36.321873
UKG3,34.272068
UKH1,32.042183
UKH2,30.180685
UKH3,30.811707
UKI3,30.583345
UKI4,30.583345
UKI5,29.875158
UKI6,31.874828
UKI7,30.775389
UKJ1,32.68136
UKJ2,42.439716
UKJ3,41.115326
UKJ4,36.67983
NO09,67.62421
NO0A,81.911285
NO0B,34.95281
HR05,37.375446
HR06,36.637333
NO02,39.472595
NO06,49.14599
NO07,47.46079
NO08,47.44103
