nuts,July Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
UKD6,33.03162
UKD7,35.170082
UKE1,30.238943
UKE2,32.82144
UKE3,31.67775
RO41,44.07672
RO42,40.77807
RS11,34.181427
TR41,15.388023
TR42,26.527544
TR51,11.145024
TR52,7.2137475
TR61,8.597414
TR62,10.248874
TR63,5.4416265
TR71,8.509693
TR72,9.442259
TR81,38.32693
UKK1,30.798487
UKK2,29.909657
UKK3,32.445305
UKK4,32.59195
UKL1,35.53737
UKL2,35.234673
UKM5,30.918169
UKM7,35.06361
UKM8,39.17457
UKM9,36.29237
UKN0,34.11712
SE21,38.633236
SE22,36.540516
SE23,41.478767
SE31,39.501564
SE32,42.213028
SE33,43.559315
SI03,46.545444
SI04,52.51322
SK01,38.37737
SK02,38.035404
SK03,44.30556
SK04,49.92644
TR10,19.272861
TR21,19.01096
UKE4,34.280266
UKF1,31.175278
UKF2,29.655941
UKF3,29.570015
UKG1,31.236134
UKG2,31.325153
UKG3,31.210386
UKH1,27.69663
UKH2,27.504875
UKH3,25.795433
UKI3,26.690248
UKI4,26.690248
UKI5,26.349989
UKI6,27.335823
UKI7,26.624245
UKJ1,29.573265
UKJ2,26.585676
UKJ3,28.104197
UKJ4,26.05549
NO09,50.23859
NO0A,56.253174
NO0B,15.675727
HR05,36.603863
HR06,36.690804
NO02,46.030663
NO06,46.43772
NO07,40.42736
NO08,47.22769
