nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
UKL2,56.624363
UKM5,52.371582
UKM7,59.41173
UKM8,71.69692
UKM9,61.869583
UKN0,52.55934
SE21,39.24287
SE22,40.486996
SE23,47.423702
SE31,45.057888
SE32,44.79619
SE33,41.39125
SI03,73.674644
SI04,104.67196
SK01,39.654877
SK02,42.937515
SK03,47.184547
SK04,45.14062
TR10,59.66292
TR21,59.061226
UKE4,45.816437
UKF1,42.567886
UKF2,39.301563
UKF3,39.332443
UKG1,44.046883
UKG2,44.547115
UKG3,43.164337
UKH1,38.64837
UKH2,36.67044
UKH3,36.844475
UKI3,36.97815
UKI4,36.97815
UKI5,36.322964
UKI6,38.600197
UKI7,37.45991
UKJ1,39.820908
UKJ2,50.671715
UKJ3,48.797276
UKJ4,43.14726
NO09,83.696266
NO0A,105.40829
NO0B,42.06051
HR05,56.680588
HR06,56.047703
NO02,52.341465
NO06,66.80357
NO07,59.9677
NO08,59.937176
