nuts,February Maximum Consecutive Five-Day Precipitation (mm) (1981 - 2010)
FRD2,26.21501
FRE1,26.562849
FRE2,26.864527
FRF1,37.725506
NL13,26.361637
NL21,27.02239
NL22,27.324091
NL23,26.86966
NL31,26.004576
NL32,27.153978
ITG2,27.638716
ITH1,33.151386
ITH2,36.69191
FRI3,31.729261
FRJ1,38.76712
FRJ2,38.913734
FRK1,35.403526
FRK2,47.468716
FRL0,36.34502
FRM0,32.228943
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,53.550697
TR32,53.260544
TR33,33.30741
HR03,56.42649
HR02,30.127365
HU11,18.418512
HU12,19.12413
HU21,19.96846
HU22,20.673508
PT16,44.022747
PT17,34.97426
FRF2,33.60082
FRF3,37.571285
FRG0,30.00593
FRH0,33.613956
FRI1,38.619442
FRI2,39.280174
ITC4,36.2497
ITF1,43.073605
ITF2,39.932884
ITF3,55.198032
ITF4,28.831726
ITF5,33.250957
ITF6,44.683758
ITG1,31.217073
LT01,20.06009
LT02,20.497063
LU00,34.04673
PL22,22.385685
PL41,19.281519
PL42,22.862946
PT18,31.763203
PT20,0.0
PT30,31.602129
RO11,26.558882
RO12,23.3012
RO21,20.31105
RO22,21.69478
RO31,23.535585
RO32,22.504215
ITH3,36.608418
ITH4,47.08405
ITH5,35.660957
ITI1,38.194096
ITI2,41.635906
ITI3,35.40137
ITI4,52.01498
LI00,62.428135
FI1D,15.44251
TR82,32.226856
TR83,31.871765
TR90,41.33578
TRA1,32.7745
TRA2,25.822874
PL43,20.73291
PL51,22.819778
PL52,19.226898
PL61,19.043903
PL62,21.495459
PL63,22.293648
PL71,19.534739
PL72,19.032003
PL81,19.984116
PL82,23.291664
PL84,19.711922
PL91,20.41368
PL92,19.896889
PT11,51.95226
PT15,32.184658
TRB1,51.52474
TRB2,47.467773
TRC1,49.13438
RS12,24.133417
RS21,30.053263
RS22,26.851957
SE11,18.097452
SE12,18.57989
NL33,25.882298
NL34,24.71296
NL41,27.4482
NL42,29.210615
PL21,23.486256
UKM6,46.932335
TR22,44.636265
TRC2,48.63627
TRC3,60.258724
UKC1,28.68015
UKC2,28.127811
UKD1,42.08411
UKD3,32.27972
UKD4,38.47957
UKD6,25.820843
UKD7,29.058836
UKE1,21.554272
UKE2,29.222261
UKE3,23.403465
RO41,26.446186
RO42,28.711561
RS11,24.944056
TR41,31.231525
TR42,37.119125
TR51,25.227365
TR52,28.43078
TR61,53.732372
TR62,51.902077
TR63,51.676453
TR71,24.837744
TR72,28.33175
TR81,39.0136
UKK1,24.776522
UKK2,28.554619
UKK3,34.4202
UKK4,32.239246
UKL1,39.284832
UKL2,34.33816
UKM5,30.430471
UKM7,38.760044
UKM8,47.634823
UKM9,39.1587
UKN0,32.772057
SE21,20.612457
SE22,23.31789
SE23,24.304125
SE31,19.545544
SE32,21.5408
SE33,20.769382
SI03,36.1421
SI04,45.96901
SK01,19.801815
SK02,21.870827
SK03,26.094097
SK04,23.149311
TR10,36.696545
TR21,37.91935
UKE4,28.918743
UKF1,23.026417
UKF2,20.2319
UKF3,20.15431
UKG1,22.892797
UKG2,24.763472
UKG3,21.966475
UKH1,21.222553
UKH2,20.684143
UKH3,21.399551
UKI3,21.50677
UKI4,21.50677
UKI5,21.1018
UKI6,22.350645
UKI7,21.654596
UKJ1,21.679781
UKJ2,25.956663
UKJ3,25.677336
UKJ4,24.14618
NO09,43.92397
NO0A,71.323555
NO0B,28.221846
HR05,29.555645
HR06,28.705795
NO02,24.764101
NO06,48.27827
NO07,39.636898
NO08,28.149286
