nuts,October Extreme Precipitation Days (days) (1981 - 2010)
PL71,0.504321180532376
PL72,0.4946510170896848
PL81,0.4963824339210987
PL82,0.5343290356919169
PL84,0.5219083458495637
PL91,0.5030396518607935
PL92,0.5009058364356558
PT11,0.6136992331594229
PT15,0.3966285432378451
TRB1,0.4393906473182142
TRB2,0.4906175103038549
TRC1,0.3229726580902934
RS12,0.38945897414038577
RS21,0.4523637951351702
RS22,0.3998997758453091
SE11,0.6249933418507377
SE12,0.6028151771364113
NL33,0.7220857928196589
NL34,0.6942668619255224
NL41,0.6405496240903934
NL42,0.6333610812822977
PL21,0.5618263976027568
UKM6,1.0613202129801114
TR22,0.3799867443740368
TRC2,0.3135944408675035
TRC3,0.35998356776932877
UKC1,0.7067488337556521
UKC2,0.7345802125831445
UKD1,0.882583483060201
UKD3,0.8165487580001354
UKD4,0.8790781646966934
UKD6,0.7604179807007313
UKD7,0.8404648318886757
UKE1,0.6370381145427625
UKE2,0.7192328994472822
UKE3,0.654706301043431
RO41,0.40554848524431386
RO42,0.45167800585428874
RS11,0.3898258715867996
TR41,0.4018670038320124
TR42,0.5461421752348542
TR51,0.3348360532273849
TR52,0.29482714080562195
TR61,0.33522677536432943
TR62,0.3736605562890569
TR63,0.37499532898267113
TR71,0.31859407760202885
TR72,0.4080999326581756
TR81,0.5838531064490478
UKK1,0.6481761326392491
UKK2,0.7212669596076011
UKK3,0.8391737862179677
UKK4,0.790757932762305
UKL1,0.8904974328974883
UKL2,0.7723175181075931
UKM5,0.8473941452801228
UKM7,0.8430071730166674
UKM8,0.9189663117130598
UKM9,0.8805823738376299
UKN0,0.8595905069882671
SE21,0.6297205474227667
SE22,0.6625382374972105
SE23,0.7243549406528473
SE31,0.6287684282287955
SE32,0.672074434456105
SE33,0.6763738132392366
SI03,0.5338221735010544
SI04,0.6038274394969145
SK01,0.4211756793161233
SK02,0.46123476754873993
SK03,0.5307209748774767
SK04,0.5037774891903003
TR10,0.5098974340905745
TR21,0.3717151678477724
UKE4,0.723122754941384
UKF1,0.6548428628593683
UKF2,0.5949918939421575
UKF3,0.5982703657199939
UKG1,0.6404627222567797
UKG2,0.6950465994576613
UKG3,0.6388572588562965
UKH1,0.6199052698289355
UKH2,0.5866963354249796
UKH3,0.5937803104519844
UKI3,0.5833333333333334
UKI4,0.5833333333333334
UKI5,0.5799926549196244
UKI6,0.5889192263285319
UKI7,0.6000000049670537
UKJ1,0.6107209697365761
UKJ2,0.669813356300195
UKJ3,0.6632828126351039
UKJ4,0.6471120757361253
NO09,0.8297013980336487
NO0A,0.9932634731133779
NO0B,0.8630099907517433
HR05,0.4666666676600774
HR06,0.4604975239684184
NO02,0.704765975723664
NO06,0.9139787336811424
NO07,0.9174734703575571
NO08,0.709614624020954
