nuts,January Extreme Precipitation Days (days) (1981 - 2010)
RO42,0.5552805134095251
RS11,0.5257606821755568
TR41,0.5707340329885483
TR42,0.6985805096725622
TR51,0.49447872331365944
TR52,0.4699766628754636
TR61,0.5943849104146163
TR62,0.5622562263160944
TR63,0.5703756581991911
TR71,0.4665084505143265
TR72,0.5177685482582698
TR81,0.7424793531497319
UKK1,0.6345879269142946
UKK2,0.7013528443872928
UKK3,0.8621440964440504
UKK4,0.7781631837288538
UKL1,0.8837335934241612
UKL2,0.7856024694318573
UKM5,0.8598745198299488
UKM7,0.9078297798832258
UKM8,0.9856637234489123
UKM9,0.9210676298787196
UKN0,0.8871047668159008
SE21,0.6277261145412922
SE22,0.6541116646801431
SE23,0.6454941337307294
SE31,0.5779375686931113
SE32,0.6787249088287354
SE33,0.6456174382629494
SI03,0.4369386850545804
SI04,0.47635439758499465
SK01,0.44535722509026526
SK02,0.49003091007471083
SK03,0.565062818924586
SK04,0.5751601923257113
TR10,0.669938205430905
TR21,0.49933044289549194
UKE4,0.7563492601116498
UKF1,0.6531703806171815
UKF2,0.6016283862292766
UKF3,0.6199903772523006
UKG1,0.6451777676741283
UKG2,0.6986932113766671
UKG3,0.6499684110283852
UKH1,0.6570806611329317
UKH2,0.5866345743338267
UKH3,0.6229094743728638
UKI3,0.5666666666666667
UKI4,0.5666666666666667
UKI5,0.579992659886678
UKI6,0.5889192322889963
UKI7,0.5777369995911916
UKJ1,0.5892791345715522
UKJ2,0.6629691459238529
UKJ3,0.6467407929400603
UKJ4,0.6529410973191261
NO09,0.818569737051924
NO0A,1.0368715558201074
NO0B,0.9481482163071633
HR05,0.42784835696220397
HR06,0.4116401786605517
NO02,0.7038998901223142
NO06,0.9232303016198178
NO07,0.8191583942621946
NO08,0.6772022023797035
