nuts,July Extreme Precipitation Days (days) (1981 - 2010)
PL22,0.7678856089711189
PL41,0.6669141220549742
PL42,0.6987364057451486
PT18,0.07319902249922355
PT20,0.0
PT30,0.09971549610296886
RO11,0.7838246827945113
RO12,0.8711638656755288
RO21,0.7306572532902161
RO22,0.48498561084270475
RO31,0.604900736734271
RO32,0.5500001043081284
ITH3,0.6950315027187268
ITH4,0.7526727334906658
ITH5,0.4058596974859635
ITI1,0.275896678896
ITI2,0.3216370044897
ITI3,0.34097537814329065
ITI4,0.27900969280550875
LI00,1.0500391681989034
FI1D,0.7345210750897725
TR82,0.3724143217938642
TR83,0.34057156840960184
TR90,0.8360408693862458
TRA1,0.4824972301100691
TRA2,0.6389512061141431
PL43,0.6582265417401989
PL51,0.7287529651075602
PL52,0.7158283858870467
PL61,0.6647165728112062
PL62,0.7121627629424135
PL63,0.7190942671770851
PL71,0.6814394120126963
PL72,0.7044059965759516
PL81,0.7151149669662118
PL82,0.7893167282144229
PL84,0.7195736998071273
PL91,0.6742614503949881
PL92,0.6733320634812117
PT11,0.25902936371664204
PT15,0.04164870083332062
TRB1,0.137325834389776
TRB2,0.2189204022909204
TRC1,0.05066966178516547
RS12,0.5134786001096169
RS21,0.6035947180042665
RS22,0.5350266942133506
SE11,0.5648796411231161
SE12,0.6641097341974577
NL33,0.7088913937409719
NL34,0.6777676512797673
NL41,0.7217363217224677
NL42,0.7205491202572981
PL21,0.8098250657940904
UKM6,0.8914970646301905
TR22,0.1633659364345173
TRC2,0.04618719092880686
TRC3,0.056046288833022116
UKC1,0.6934017933905124
UKC2,0.7227802310138941
UKD1,0.85529806787769
UKD3,0.8132546519239744
UKD4,0.8457447829345862
UKD6,0.7422201546529928
UKD7,0.7998475293318431
UKE1,0.6255025669932366
UKE2,0.6989010361333688
UKE3,0.6607669321199258
RO41,0.6003359778473775
RO42,0.6650059975683689
RS11,0.5205357511838277
TR41,0.24337155219788353
TR42,0.39625536147505047
TR51,0.1857412066621085
TR52,0.11924924611424406
TR61,0.13548079462101062
TR62,0.19931213005135456
TR63,0.11968428324908018
TR71,0.1291492479853332
TR72,0.18016483715424936
TR81,0.4656141703327497
UKK1,0.6111134784917037
UKK2,0.6050911801556746
UKK3,0.6328944752613703
UKK4,0.6394424976160129
UKL1,0.7607362339893977
UKL2,0.7207613389318188
UKM5,0.756844862177968
UKM7,0.806451532120506
UKM8,0.8641362622380256
UKM9,0.8129934539397558
UKN0,0.8554472422848145
SE21,0.6498505617802341
SE22,0.6431439339493712
SE23,0.6969820115094384
SE31,0.7127242126502097
SE32,0.7879460447467863
SE33,0.7806792380909126
SI03,0.6300233926624059
SI04,0.6552222645531098
SK01,0.5696132389207681
SK02,0.5891756264492869
SK03,0.7255536339556178
SK04,0.7360771737992764
TR10,0.2749506993840138
TR21,0.2557120366021991
UKE4,0.7180403262376786
UKF1,0.6531508865455786
UKF2,0.6217364811648926
UKF3,0.6082508519291878
UKG1,0.6272803205996752
UKG2,0.671161845823129
UKG3,0.6499684095382691
UKH1,0.6078472626705964
UKH2,0.6088568078974883
UKH3,0.591568531592687
UKI3,0.5833333333333334
UKI4,0.5833333333333334
UKI5,0.5932819351553917
UKI6,0.5944899514317512
UKI7,0.5999388327201207
UKJ1,0.6092481054365635
UKJ2,0.5386453591287136
UKJ3,0.5627449655284484
UKJ4,0.578420831138889
NO09,0.6639069055827955
NO0A,0.9097750966747602
NO0B,0.43708395461241406
HR05,0.5332585602998734
HR06,0.5290873815615972
NO02,0.8350702382624149
NO06,0.9119116865098477
NO07,0.8272591675321261
NO08,0.7143693353670338
