nuts,Annual Extreme Precipitation Days (days) (1981 - 2010)
FRI3,6.797123726209005
FRJ1,6.08861403465271
FRJ2,7.50856081644694
FRK1,7.959835942586263
FRK2,7.688144175211589
FRL0,5.497325881322225
FRM0,5.03192396958669
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.945411801338196
TR32,3.9756513635317483
TR33,4.410410392284393
HR03,6.352771552403768
HR02,6.394104234377543
HU11,5.4913703262805935
HU12,5.655908125638962
HU21,5.743676400184631
HU22,5.864799157778422
PT16,5.123171273867289
PT17,4.202311424414317
FRF2,7.94038667678833
FRF3,8.30285816192627
FRG0,6.675152095158895
FRH0,7.420835455258687
FRI1,7.2988336483637495
FRI2,7.999692646662394
ITC4,6.795890855789184
ITF1,6.488317195574442
ITF2,6.118652848402659
ITF3,6.048508628209432
ITF4,4.66417996486028
ITF5,5.223016826311747
ITF6,5.561007690429688
ITG1,4.41295417547226
LT01,7.785793844858805
LT02,7.615787959098816
LU00,8.326011069615681
PL22,8.017875425020854
PL41,7.021875301996867
PL42,7.565640751520792
PT18,3.9394532839457193
PT20,0.0
PT30,4.284186991055806
RO11,7.838655583063761
RO12,7.914273405075074
RO21,6.629689621925354
RO22,5.092352231343587
RO31,5.816765475273132
RO32,5.286452529827754
ITH3,7.017972087860107
ITH4,7.703390582402547
ITH5,5.959751518567403
ITI1,5.80397740205129
ITI2,6.277748417854309
ITI3,6.138681324323018
ITI4,6.0884804407755535
LI00,10.217254130045573
FI1D,7.2177771409352625
TR82,6.68448052406311
TR83,6.261724456151327
TR90,9.12713680267334
TRA1,6.888569259643555
TRA2,7.437204146385193
PL43,7.187074406941732
PL51,7.718894728024801
PL52,7.454628618558248
PL61,6.983407243092855
PL62,7.4940266609191895
PL63,7.65404060681661
PL71,7.177137970924377
PL72,7.2988507350285845
PL81,7.290309095382691
PL82,8.05814595222473
PL84,7.311745174725851
PL91,7.160929417610168
PL92,7.113015715281168
PT11,5.8643914302190145
PT15,3.384582645694415
TRB1,5.300002249081929
TRB2,5.861138478914897
TRC1,4.146949986616771
RS12,5.826594086488088
RS21,7.144452810287476
RS22,6.41063670317332
SE11,6.56545741558075
SE12,6.751160844167074
NL33,8.103583923975627
NL34,7.838259887695313
NL41,7.882755517959595
NL42,8.06561935742696
PL21,8.269422260920207
UKM6,11.128889067967732
TR22,4.5762133479118345
TRC2,4.035222351551056
TRC3,4.586716330051422
UKC1,8.383025614420573
UKC2,8.519331518809
UKD1,9.771055245399475
UKD3,9.142252206802368
UKD4,9.598893817265829
UKD6,8.522466413180034
UKD7,9.135004107157389
UKE1,7.449670767784118
UKE2,8.329779410362244
UKE3,7.695780150095621
RO41,6.261152648925782
RO42,7.1602668841679895
RS11,6.149890518188476
TR41,5.154736550649007
TR42,6.652754275004069
TR51,4.654468727111817
TR52,4.08870982726415
TR61,4.645855824152629
TR62,5.107569440205892
TR63,4.759814755121867
TR71,4.446130998929342
TR72,5.429458888371785
TR81,7.256436212857564
UKK1,7.186528317133585
UKK2,7.521321598688761
UKK3,8.52790945370992
UKK4,8.132339493433635
UKL1,9.401632436116536
UKL2,8.575232299168905
UKM5,9.251659202575684
UKM7,9.435051107406617
UKM8,10.086794432004293
UKM9,9.615038220087687
UKN0,9.695129791895548
SE21,7.078890379269918
SE22,7.295277484258016
SE23,7.587509989738464
SE31,7.113833292325338
SE32,7.804689542452494
SE33,7.602338902155558
SI03,6.8945018688837685
SI04,7.2972157080968225
SK01,6.035804184277852
SK02,6.498348045349121
SK03,7.654464117685953
SK04,7.499366442362468
TR10,5.466112327575684
TR21,4.645155878861745
UKE4,8.379869063695272
UKF1,7.614833267529805
UKF2,7.0732089956601465
UKF3,7.140876269340515
UKG1,7.296747199694315
UKG2,7.915525341033936
UKG3,7.393970473607381
UKH1,7.187626608212789
UKH2,6.884244585037232
UKH3,6.903961745897929
UKI3,6.716666666666667
UKI4,6.716666666666667
UKI5,6.759801808993021
UKI6,6.794702339172363
UKI7,6.799755374590556
UKJ1,6.979529881477356
UKJ2,6.971967124938965
UKJ3,7.0232022126515705
UKJ4,7.08829927444458
NO09,8.494863414764405
NO0A,10.775377480189006
NO0B,8.60750182469686
HR05,6.255596748987833
HR06,6.14467605749766
NO02,8.30249571800232
NO06,10.25507656733195
NO07,9.47926336924235
NO08,7.7406287829081215
