nuts,November Extreme Precipitation Days (days) (1981 - 2010)
TRB2,0.48241389725978173
TRC1,0.42304813663164775
RS12,0.4596028396238883
RS21,0.5509877609709899
RS22,0.5038834913944205
SE11,0.6691254609574874
SE12,0.6038028497093667
NL33,0.7642237283289433
NL34,0.7165296586851279
NL41,0.6724651289482911
NL42,0.6924577362835407
PL21,0.6407358436534802
UKM6,1.0499092109501362
TR22,0.5003612380474806
TRC2,0.41095506387452285
TRC3,0.4411316482971112
UKC1,0.7201095456878345
UKC2,0.7357684805989265
UKD1,0.8583480713268121
UKD3,0.786529166251421
UKD4,0.8583053939044476
UKD6,0.7270315527915955
UKD7,0.8329848711689313
UKE1,0.6585902022818725
UKE2,0.721327190225323
UKE3,0.6546705635885398
RO41,0.4736802407540381
RO42,0.5389524436555803
RS11,0.48984789177775384
TR41,0.48603393966332076
TR42,0.6021716774751743
TR51,0.4119175708852708
TR52,0.37004924478630224
TR61,0.4440009797612826
TR62,0.4409195298949877
TR63,0.4410703430573146
TR71,0.3937649784299235
TR72,0.4559631114515165
TR81,0.6298152980705102
UKK1,0.6062788551052412
UKK2,0.6893084285159906
UKK3,0.8483537500103314
UKK4,0.7625800229609012
UKL1,0.887832427273194
UKL2,0.7445816113923986
UKM5,0.8338405785461267
UKM7,0.8053751467416684
UKM8,0.8760806282361349
UKM9,0.8562857608621319
UKN0,0.8575127114852269
SE21,0.6555869657546282
SE22,0.6736424405127763
SE23,0.6769482986380656
SE31,0.6481928593479097
SE32,0.6889138395587603
SE33,0.6751402567140758
SI03,0.561739039917787
SI04,0.6086039916922649
SK01,0.5211608149111271
SK02,0.5488214197258154
SK03,0.6112465831140678
SK04,0.5717589555929105
TR10,0.5949556694676479
TR21,0.46532069171468415
UKE4,0.7179792935649554
UKF1,0.6348117642104626
UKF2,0.579939416795969
UKF3,0.6098932998875777
UKG1,0.5939939082910617
UKG2,0.6557540989170472
UKG3,0.5943812439839046
UKH1,0.6360261437793573
UKH2,0.5577604077756405
UKH3,0.5792099545399348
UKI3,0.5666666666666667
UKI4,0.5666666666666667
UKI5,0.5533773864308993
UKI6,0.5666666636864345
UKI7,0.5555963337421417
UKJ1,0.5680141266435385
UKJ2,0.6588296138991913
UKJ3,0.6392956969638666
UKJ4,0.6412510021279255
NO09,0.8020284117199481
NO0A,0.9433583744801581
NO0B,0.9333803713321686
HR05,0.5166541387637457
HR06,0.5105140516534448
NO02,0.7059261263348162
NO06,0.8352052550762892
NO07,0.7680576420078675
NO08,0.6898974207850794
