nuts,June Total Precipitation (mm) (1981 - 2010)
PL71,77.092316
PL72,87.53956
PL81,86.31849
PL82,104.54495
PL84,83.65266
PL91,80.6922
PL92,80.27725
PT11,46.211723
PT15,9.790267
TRB1,29.394117
TRB2,39.117775
TRC1,11.525047
RS12,79.32739
RS21,95.22455
RS22,82.97307
SE11,61.315655
SE12,76.30859
NL33,68.34983
NL34,67.08084
NL41,74.59724
NL42,78.2412
PL21,113.537796
UKM6,86.6022
TR22,24.231445
TRC2,9.646319
TRC3,11.796874
UKC1,72.31179
UKC2,72.21713
UKD1,88.20284
UKD3,86.78485
UKD4,87.57456
UKD6,79.821144
UKD7,82.73754
UKE1,67.01591
UKE2,75.10392
UKE3,74.85635
RO41,98.24189
RO42,110.10711
RS11,82.60258
TR41,37.332775
TR42,61.082943
TR51,33.598904
TR52,24.647806
TR61,23.47898
TR62,35.46809
TR63,21.063456
TR71,30.92509
TR72,42.87449
TR81,77.739555
UKK1,63.23351
UKK2,62.938744
UKK3,65.505775
UKK4,68.17934
UKL1,80.32879
UKL2,78.79682
UKM5,73.257225
UKM7,81.40991
UKM8,89.29943
UKM9,83.40812
UKN0,83.78066
SE21,72.48611
SE22,75.421745
SE23,87.857155
SE31,88.73781
SE32,83.602036
SE33,77.781006
SI03,126.56005
SI04,138.30821
SK01,80.51353
SK02,86.97634
SK03,109.31885
SK04,103.96491
TR10,33.87902
TR21,38.803326
UKE4,79.553764
UKF1,73.726776
UKF2,66.50845
UKF3,66.76886
UKG1,67.915886
UKG2,73.598305
UKG3,71.72756
UKH1,62.392868
UKH2,63.335815
UKH3,59.44468
UKI3,59.73732
UKI4,59.73732
UKI5,60.49481
UKI6,60.60763
UKI7,60.71358
UKJ1,62.609406
UKJ2,54.612423
UKJ3,55.994564
UKJ4,57.86342
NO09,89.746155
NO0A,115.473236
NO0B,28.525234
HR05,97.23242
HR06,98.78386
NO02,98.51754
NO06,106.016754
NO07,85.395355
NO08,93.81247
