nuts,October Total Precipitation (mm) (1981 - 2010)
TR81,91.927185
UKK1,79.10762
UKK2,95.21807
UKK3,108.43678
UKK4,103.19618
UKL1,133.06091
UKL2,105.566605
UKM5,102.534004
UKM7,117.862854
UKM8,149.88377
UKM9,127.61895
UKN0,108.8035
SE21,63.604527
SE22,69.38587
SE23,86.09748
SE31,69.47728
SE32,73.5019
SE33,71.95735
SI03,104.00374
SI04,152.92404
SK01,42.885296
SK02,48.456783
SK03,58.03369
SK04,55.00481
TR10,79.5741
TR21,63.023403
UKE4,83.757126
UKF1,73.03911
UKF2,65.62168
UKF3,64.45448
UKG1,74.60305
UKG2,80.38298
UKG3,72.81544
UKH1,68.620155
UKH2,63.035934
UKH3,66.055145
UKI3,63.1017
UKI4,63.1017
UKI5,62.337643
UKI6,65.6733
UKI7,63.707
UKJ1,67.914825
UKJ2,87.943504
UKJ3,85.56124
UKJ4,78.22552
NO09,149.43903
NO0A,206.4879
NO0B,85.887535
HR05,75.59825
HR06,72.97312
NO02,86.08593
NO06,124.010445
NO07,121.07273
NO08,100.747856
