nuts,September Total Precipitation (mm) (1981 - 2010)
TR52,12.048979
TR61,17.8524
TR62,25.212736
TR63,16.545105
TR71,14.712151
TR72,21.93552
TR81,66.193794
UKK1,63.504875
UKK2,69.790146
UKK3,72.92834
UKK4,72.371
UKL1,97.19529
UKL2,80.38224
UKM5,82.63488
UKM7,96.31535
UKM8,120.910324
UKM9,100.068405
UKN0,88.686325
SE21,65.255745
SE22,68.96735
SE23,81.93408
SE31,72.883224
SE32,77.885666
SE33,74.07109
SI03,109.77854
SI04,138.43156
SK01,62.481583
SK02,65.219086
SK03,76.40603
SK04,73.44451
TR10,44.879898
TR21,35.333218
UKE4,72.93864
UKF1,65.18202
UKF2,59.917526
UKF3,62.98355
UKG1,62.663265
UKG2,66.19225
UKG3,63.910477
UKH1,61.57886
UKH2,55.420685
UKH3,55.395664
UKI3,51.07497
UKI4,51.07497
UKI5,51.984386
UKI6,53.041077
UKI7,53.227234
UKJ1,58.9898
UKJ2,61.929497
UKJ3,63.779926
UKJ4,58.960987
NO09,120.04402
NO0A,189.76823
NO0B,63.42973
HR05,87.47386
HR06,86.06882
NO02,86.114746
NO06,132.35628
NO07,108.798134
NO08,89.9055
