nuts,December Total Precipitation (mm) (1981 - 2010)
LT01,58.084187
LT02,58.81311
LU00,92.80492
PL22,62.429058
PL41,53.8528
PL42,60.34035
PT18,89.8065
PT20,0.0
PT30,84.29411
RO11,71.546524
RO12,55.174244
RO21,43.479645
RO22,42.77172
RO31,48.565113
RO32,46.96132
ITH3,81.34523
ITH4,114.120476
ITH5,89.26486
ITI1,102.22013
ITI2,98.07091
ITI3,91.42693
ITI4,117.61107
LI00,128.26573
FI1D,45.717407
TR82,82.923874
TR83,71.41403
TR90,98.28199
TRA1,60.459557
TRA2,45.1352
PL43,57.523705
PL51,61.691395
PL52,56.314316
PL61,51.778507
PL62,57.040436
PL63,59.2044
PL71,54.50776
PL72,50.433174
PL81,50.187492
PL82,60.033348
PL84,52.854076
PL91,53.53329
PL92,52.399933
PT11,151.01773
PT15,97.61136
TRB1,94.2975
TRB2,77.01077
TRC1,95.02934
RS12,56.60867
RS21,70.47294
RS22,64.947716
SE11,56.204727
SE12,53.191547
NL33,79.337814
NL34,74.815956
NL41,74.50252
NL42,78.185814
PL21,60.01902
UKM6,146.55873
TR22,104.234024
TRC2,84.75792
TRC3,96.38942
UKC1,77.48319
UKC2,77.89092
UKD1,124.90288
UKD3,99.08195
UKD4,120.12143
UKD6,81.77495
UKD7,99.921745
UKE1,64.27894
UKE2,82.06939
UKE3,68.94286
RO41,60.949604
RO42,69.89612
RS11,59.481606
TR41,71.69711
TR42,94.4829
TR51,56.3663
TR52,63.3458
TR61,124.28267
TR62,123.638306
TR63,101.3423
TR71,58.268475
TR72,61.887196
TR81,98.85404
UKK1,72.4069
UKK2,86.77089
UKK3,106.45978
UKK4,98.59793
UKL1,124.798965
UKL2,100.56181
UKM5,83.891045
UKM7,105.020676
UKM8,134.04057
UKM9,115.32379
UKN0,101.63451
SE21,58.899384
SE22,63.38238
SE23,70.539
SE31,55.16435
SE32,57.51844
SE33,56.797203
SI03,87.26102
SI04,113.35155
SK01,48.68628
SK02,56.792187
SK03,64.0628
SK04,56.308445
TR10,99.70466
TR21,84.760254
UKE4,82.90659
UKF1,68.24027
UKF2,57.525814
UKF3,57.037277
UKG1,66.45516
UKG2,74.15055
UKG3,64.72921
UKH1,59.45176
UKH2,56.269547
UKH3,59.391956
UKI3,58.401054
UKI4,58.401054
UKI5,57.132
UKI6,60.84122
UKI7,58.778145
UKJ1,61.72089
UKJ2,78.830666
UKJ3,78.42595
UKJ4,69.69889
NO09,115.208855
NO0A,200.72548
NO0B,88.522804
HR05,73.54021
HR06,70.583374
NO02,64.93283
NO06,121.47612
NO07,102.566444
NO08,71.92918
