nuts,April Total Precipitation (mm) (1981 - 2010)
FRI2,104.65251
ITC4,117.18898
ITF1,93.66975
ITF2,84.21307
ITF3,96.43579
ITF4,54.220726
ITF5,70.872505
ITF6,72.520096
ITG1,48.06133
LT01,52.84764
LT02,49.18947
LU00,72.64449
PL22,61.454826
PL41,44.31472
PL42,47.685055
PT18,60.738964
PT20,0.0
PT30,38.81317
RO11,85.8813
RO12,89.45319
RO21,70.36653
RO22,51.642654
RO31,65.67688
RO32,60.548836
ITH3,109.35638
ITH4,136.44821
ITH5,97.265144
ITI1,92.04621
ITI2,97.33223
ITI3,84.06971
ITI4,100.26131
LI00,135.99815
FI1D,37.95548
TR82,86.102
TR83,90.2404
TR90,114.682396
TRA1,101.26531
TRA2,106.45378
PL43,48.68185
PL51,52.69474
PL52,51.939453
PL61,45.50704
PL62,48.68198
PL63,47.299923
PL71,48.670547
PL72,55.26077
PL81,54.862118
PL82,67.55713
PL84,50.039364
PL91,50.196037
PL92,49.683884
PT11,106.32963
PT15,52.326447
TRB1,108.8892
TRB2,108.94807
TRC1,65.46024
RS12,63.101612
RS21,84.214905
RS22,79.04761
SE11,38.47947
SE12,45.119038
NL33,55.804794
NL34,57.03712
NL41,57.81677
NL42,59.69582
PL21,69.17523
UKM6,88.61465
TR22,58.243355
TRC2,75.96563
TRC3,104.74481
UKC1,69.669014
UKC2,67.47213
UKD1,81.460365
UKD3,79.73385
UKD4,81.42528
UKD6,72.36916
UKD7,74.7068
UKE1,61.86753
UKE2,71.37088
UKE3,69.37114
RO41,77.82042
RO42,86.88533
RS11,67.109055
TR41,62.698566
TR42,76.669044
TR51,59.307636
TR52,52.68338
TR61,65.70304
TR62,74.90239
TR63,76.51436
TR71,62.944874
TR72,86.351944
TR81,85.790955
UKK1,65.39942
UKK2,66.35523
UKK3,69.74511
UKK4,70.33215
UKL1,80.330284
UKL2,78.50825
UKM5,68.942444
UKM7,76.58524
UKM8,88.74059
UKM9,79.83671
UKN0,79.092224
SE21,43.814423
SE22,43.783222
SE23,53.515278
SE31,49.75673
SE32,49.729713
SE33,43.823357
SI03,96.03646
SI04,119.849335
SK01,50.839417
SK02,56.952938
SK03,71.64447
SK04,68.76995
TR10,47.342922
TR21,51.05138
UKE4,74.75273
UKF1,68.57996
UKF2,62.071724
UKF3,60.508236
UKG1,65.72899
UKG2,69.63064
UKG3,66.37189
UKH1,55.965187
UKH2,59.062508
UKH3,55.19791
UKI3,57.23773
UKI4,57.23773
UKI5,57.54707
UKI6,58.174213
UKI7,57.86759
UKJ1,61.063995
UKJ2,56.28252
UKJ3,60.28102
UKJ4,55.064507
NO09,77.04644
NO0A,107.57335
NO0B,58.283615
HR05,76.27125
HR06,73.96866
NO02,56.374805
NO06,84.137955
NO07,73.540016
NO08,60.48774
