nuts,Winter Total Precipitation (mm) (1981 - 2010)
NL42,213.58974
PL21,164.15344
UKM6,429.3351
TR22,270.18842
TRC2,263.59088
TRC3,309.86227
UKC1,218.65446
UKC2,219.36597
UKD1,350.24554
UKD3,269.615
UKD4,326.31058
UKD6,215.9955
UKD7,254.41751
UKE1,173.179
UKE2,230.38184
UKE3,186.62607
RO41,154.87108
RO42,181.98553
RS11,156.33644
TR41,196.60995
TR42,256.57053
TR51,152.94452
TR52,171.94864
TR61,333.66318
TR62,318.6002
TR63,296.63977
TR71,155.11722
TR72,174.68747
TR81,276.7915
UKK1,197.15628
UKK2,231.18634
UKK3,288.35883
UKK4,262.1638
UKL1,332.9443
UKL2,273.87924
UKM5,238.73521
UKM7,316.17944
UKM8,400.39804
UKM9,328.06677
UKN0,279.0799
SE21,158.42534
SE22,173.06653
SE23,193.91986
SE31,147.51826
SE32,165.10466
SE33,162.01157
SI03,204.1213
SI04,260.3209
SK01,124.35759
SK02,144.19025
SK03,168.42453
SK04,149.97212
TR10,247.08975
TR21,213.02757
UKE4,231.37137
UKF1,183.7512
UKF2,157.46886
UKF3,157.29532
UKG1,180.41237
UKG2,199.02673
UKG3,173.84929
UKH1,165.63164
UKH2,157.63957
UKH3,165.85484
UKI3,163.33942
UKI4,163.33942
UKI5,160.31508
UKI6,169.23752
UKI7,164.3629
UKJ1,169.25012
UKJ2,209.49158
UKJ3,209.03633
UKJ4,189.8018
NO09,351.1166
NO0A,590.86194
NO0B,239.31377
HR05,175.37434
HR06,167.41904
NO02,188.06395
NO06,354.9051
NO07,294.60764
NO08,211.5924
