nuts,January Total Precipitation (mm) (1981 - 2010)
UKC1,77.92195
UKC2,78.28462
UKD1,127.6805
UKD3,95.1768
UKD4,116.68563
UKD6,74.877335
UKD7,87.18169
UKE1,61.29078
UKE2,82.777
UKE3,65.221245
RO41,46.793804
RO42,57.237854
RS11,49.696606
TR41,65.92937
TR42,86.26829
TR51,50.784637
TR52,60.338978
TR61,119.795135
TR62,111.186646
TR63,103.62834
TR71,50.88645
TR72,57.223873
TR81,94.13279
UKK1,70.76183
UKK2,81.404854
UKK3,102.967026
UKK4,91.68456
UKL1,118.6027
UKL2,97.91698
UKM5,85.74205
UKM7,119.61998
UKM8,151.80687
UKM9,120.63124
UKN0,100.71353
SE21,55.289326
SE22,61.477737
SE23,70.39529
SE31,51.628124
SE32,61.247223
SE33,59.477135
SI03,57.133507
SI04,73.81726
SK01,37.830463
SK02,45.314556
SK03,54.405792
SK04,47.21664
TR10,81.23209
TR21,66.63712
UKE4,82.38339
UKF1,64.32333
UKF2,56.487106
UKF3,56.849274
UKG1,64.6833
UKG2,69.931114
UKG3,61.696144
UKH1,59.566277
UKH2,56.190426
UKH3,58.913353
UKI3,56.997524
UKI4,56.997524
UKI5,56.234528
UKI6,59.075912
UKI7,57.758457
UKJ1,60.521122
UKJ2,74.46422
UKJ3,73.92669
UKJ4,67.30719
NO09,136.8027
NO0A,221.25427
NO0B,80.00998
HR05,52.201355
HR06,48.86834
NO02,70.2534
NO06,130.171
NO07,105.3642
NO08,80.00413
