nuts,February Total Precipitation (mm) (1981 - 2010)
PL81,43.182716
PL82,51.51142
PL84,41.903446
PL91,42.62414
PL92,41.652664
PT11,92.63427
PT15,53.60136
TRB1,97.45748
TRB2,92.28302
TRC1,93.50174
RS12,42.970676
RS21,57.998882
RS22,50.952038
SE11,37.068714
SE12,37.948315
NL33,56.144085
NL34,53.905632
NL41,58.297993
NL42,62.497093
PL21,51.425533
UKM6,121.81703
TR22,84.661865
TRC2,93.3385
TRC3,116.148094
UKC1,61.385563
UKC2,61.009357
UKD1,94.240005
UKD3,73.917366
UKD4,87.61885
UKD6,58.253323
UKD7,66.45491
UKE1,46.442303
UKE2,63.920387
UKE3,51.11919
RO41,47.266735
RO42,55.558887
RS11,47.02564
TR41,63.012867
TR42,80.24997
TR51,48.8233
TR52,53.654663
TR61,99.184616
TR62,95.399376
TR63,97.68892
TR71,48.68609
TR72,56.263496
TR81,87.36099
UKK1,52.188698
UKK2,60.977066
UKK3,77.16766
UKK4,69.73348
UKL1,87.09403
UKL2,73.74598
UKM5,68.34164
UKM7,89.34033
UKM8,111.86059
UKM9,89.82041
UKN0,75.591896
SE21,44.758698
SE22,49.197582
SE23,52.36186
SE31,39.70105
SE32,46.30244
SE33,46.420494
SI03,61.18024
SI04,73.423195
SK01,38.26928
SK02,43.061893
SK03,51.254036
SK04,46.85242
TR10,71.90921
TR21,65.88943
UKE4,64.54678
UKF1,50.098343
UKF2,42.916206
UKF3,42.6212
UKG1,48.16068
UKG2,53.909546
UKG3,46.48715
UKH1,45.55121
UKH2,43.94176
UKH3,45.772247
UKI3,45.815945
UKI4,45.815945
UKI5,45.03677
UKI6,47.151073
UKI7,45.888702
UKJ1,45.71938
UKJ2,53.79673
UKJ3,54.325985
UKJ4,50.62406
NO09,94.73478
NO0A,170.17497
NO0B,71.463005
HR05,51.955624
HR06,49.924297
NO02,51.9924
NO06,105.78527
NO07,88.37954
NO08,57.46155
