nuts,Summer Total Precipitation (mm) (1981 - 2010)
PL52,267.53833
PL61,230.7286
PL62,253.2067
PL63,251.41302
PL71,236.06424
PL72,256.27814
PL81,256.8559
PL82,310.70276
PL84,245.16942
PL91,234.12698
PL92,234.742
PT11,103.842865
PT15,16.253258
TRB1,48.72712
TRB2,73.154
TRC1,17.110348
RS12,198.76642
RS21,242.64362
RS22,204.93494
SE11,204.51555
SE12,241.3635
NL33,229.41882
NL34,217.14153
NL41,228.55672
NL42,231.33298
PL21,330.51007
UKM6,301.7915
TR22,49.05571
TRC2,13.308123
TRC3,17.755896
UKC1,218.31061
UKC2,221.91621
UKD1,290.1112
UKD3,266.6707
UKD4,285.10062
UKD6,237.84079
UKD7,258.8896
UKE1,199.54
UKE2,227.21404
UKE3,217.77179
RO41,258.9061
RO42,280.77304
RS11,208.94383
TR41,78.71071
TR42,144.77481
TR51,62.41264
TR52,40.59164
TR61,44.05147
TR62,67.57297
TR63,37.27054
TR71,49.51809
TR72,68.3635
TR81,194.31218
UKK1,191.2724
UKK2,193.13982
UKK3,204.82472
UKK4,207.776
UKL1,254.72215
UKL2,237.13596
UKM5,232.05312
UKM7,265.15863
UKM8,305.43692
UKM9,274.38013
UKN0,270.3911
SE21,231.21902
SE22,232.63365
SE23,274.99094
SE31,273.22528
SE32,283.1615
SE33,275.2423
SI03,346.74774
SI04,383.75638
SK01,228.05843
SK02,243.19516
SK03,304.942
SK04,303.6638
TR10,90.1073
TR21,85.88066
UKE4,236.59293
UKF1,214.69855
UKF2,193.1094
UKF3,196.90453
UKG1,195.18523
UKG2,212.34747
UKG3,203.31189
UKH1,186.68419
UKH2,182.86266
UKH3,174.5046
UKI3,176.42584
UKI4,176.42584
UKI5,177.13977
UKI6,181.76227
UKI7,177.6767
UKJ1,185.64333
UKJ2,169.24779
UKJ3,173.94356
UKJ4,173.86212
NO09,314.11404
NO0A,412.43567
NO0B,111.452774
HR05,262.0412
HR06,263.77484
NO02,317.3081
NO06,343.57492
NO07,284.18243
NO08,303.42828
