nuts,March Total Precipitation (mm) (1981 - 2010)
LI00,145.3052
FI1D,39.30493
TR82,72.807045
TR83,72.90004
TR90,99.78898
TRA1,79.132286
TRA2,72.17645
PL43,56.26272
PL51,61.161575
PL52,54.257854
PL61,49.356487
PL62,51.520805
PL63,53.2937
PL71,51.016037
PL72,50.87113
PL81,49.791416
PL82,58.30548
PL84,48.335266
PL91,49.328636
PL92,48.49396
PT11,84.14223
PT15,43.080284
TRB1,101.06755
TRB2,101.485596
TRC1,84.351585
RS12,51.52683
RS21,72.041985
RS22,63.49892
SE11,37.56505
SE12,39.556564
NL33,68.756325
NL34,64.7531
NL41,71.44992
NL42,75.44218
PL21,61.274967
UKM6,131.47464
TR22,75.92151
TRC2,89.92351
TRC3,116.55922
UKC1,66.60834
UKC2,66.98021
UKD1,100.37124
UKD3,88.61907
UKD4,98.20965
UKD6,74.05176
UKD7,81.26646
UKE1,56.814278
UKE2,71.34829
UKE3,63.36321
RO41,59.94848
RO42,65.88171
RS11,60.323772
TR41,64.986725
TR42,81.784164
TR51,52.70225
TR52,51.605694
TR61,81.326096
TR62,86.86654
TR63,94.615
TR71,53.76291
TR72,68.332825
TR81,88.98565
UKK1,61.46544
UKK2,66.30294
UKK3,78.27126
UKK4,73.75221
UKL1,95.55746
UKL2,82.46468
UKM5,79.147575
UKM7,100.553894
UKM8,124.75218
UKM9,100.05833
UKN0,88.897446
SE21,44.048805
SE22,51.265625
SE23,54.69966
SE31,45.810375
SE32,50.051357
SE33,48.379345
SI03,82.40546
SI04,98.37025
SK01,48.012165
SK02,51.883755
SK03,61.34007
SK04,53.985687
TR10,68.7725
TR21,66.85012
UKE4,74.7124
UKF1,63.152752
UKF2,54.379166
UKF3,54.420563
UKG1,58.902596
UKG2,66.32442
UKG3,59.082214
UKH1,54.735943
UKH2,53.26033
UKH3,51.651764
UKI3,52.446545
UKI4,52.446545
UKI5,52.096523
UKI6,53.323215
UKI7,53.46192
UKJ1,55.90685
UKJ2,57.126736
UKJ3,60.0902
UKJ4,54.42109
NO09,105.97507
NO0A,165.04066
NO0B,80.081474
HR05,69.96331
HR06,67.008736
NO02,60.90657
NO06,97.17894
NO07,78.47429
NO08,69.40885
