nuts,Autumn Total Precipitation (mm) (1981 - 2010)
DK02,202.73206
DK03,230.3045
DK04,237.3114
ES41,195.77847
ES42,151.57326
HU23,177.53635
HU31,156.02438
HU32,161.52028
HU33,153.18658
IE04,345.9249
EE00,212.674
EL30,112.54316
EL41,147.28252
EL43,117.81902
EL51,184.09752
EL52,188.35886
FI20,202.3425
FR10,189.37875
FRB0,201.69977
FRC1,262.45605
FRC2,350.02682
FRD1,235.74597
FRD2,219.24684
FRE1,217.20534
FRE2,201.4814
FRF1,271.2722
NL13,211.99327
NL21,215.67567
NL22,213.53629
NL23,237.43776
NL31,221.46938
NL32,289.31137
ITG2,174.01265
ITH1,311.23187
ITH2,368.85037
FRI3,224.74481
FRJ1,307.74307
FRJ2,268.5575
FRK1,279.43192
FRK2,345.7103
FRL0,283.4458
FRM0,246.63734
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,179.43858
TR32,156.5046
TR33,115.91584
HR03,415.90176
HR02,229.39331
HU11,150.0724
HU12,152.93884
HU21,165.33812
HU22,179.13275
PT16,272.05508
PT17,194.3498
FRF2,239.33627
FRF3,263.98453
FRG0,208.50212
FRH0,238.87617
FRI1,264.56323
FRI2,283.81015
ITC4,358.6221
ITF1,259.60956
ITF2,237.11609
ITF3,333.1171
ITF4,191.11346
ITF5,192.76132
ITF6,265.7133
ITG1,195.86157
LT01,180.91432
LT02,190.46298
LU00,235.61765
PL22,192.61449
PL41,147.67896
PL42,178.14366
PT18,179.98198
PT20,0.0
PT30,139.84161
RO11,211.6657
RO12,182.1555
RO21,150.83958
RO22,135.16528
RO31,155.18405
RO32,150.88855
ITH3,353.35474
ITH4,496.25092
ITH5,290.86798
ITI1,326.81558
ITI2,287.07993
ITI3,235.01805
ITI4,348.9757
LI00,412.98483
FI1D,177.5616
TR82,198.9416
TR83,182.00674
TR90,374.83652
TRA1,174.85176
TRA2,158.01367
PL43,152.94283
PL51,172.14781
PL52,167.7954
PL61,148.26158
PL62,175.15341
PL63,186.57785
PL71,154.44905
PL72,161.45732
PL81,165.0943
PL82,196.86533
PL84,163.97961
PL91,156.51291
PL92,155.73544
PT11,338.77863
PT15,161.594
TRB1,169.81755
TRB2,146.50916
TRC1,126.90818
RS12,157.5909
RS21,194.47017
RS22,165.61963
SE11,179.49538
SE12,180.41826
NL33,248.91214
NL34,224.3323
NL41,208.88187
NL42,210.61798
PL21,196.36732
UKM6,440.7435
TR22,180.8499
TRC2,124.67228
TRC3,137.03378
UKC1,223.12389
UKC2,227.36938
UKD1,359.979
UKD3,280.98242
UKD4,343.24176
UKD6,239.13481
UKD7,295.16254
UKE1,197.13622
UKE2,235.6556
UKE3,204.39552
RO41,174.37506
RO42,193.842
RS11,165.13593
TR41,141.17197
TR42,210.62724
TR51,100.82563
TR52,98.194664
TR61,161.95396
TR62,173.62984
TR63,151.78513
TR71,101.77819
TR72,136.3682
TR81,249.24818
UKK1,213.64134
UKK2,251.35675
UKK3,286.00443
UKK4,271.24054
UKL1,357.45648
UKL2,281.2588
UKM5,275.899
UKM7,316.8282
UKM8,401.00336
UKM9,342.7447
UKN0,297.85114
SE21,191.02725
SE22,202.50768
SE23,240.16333
SE31,206.49896
SE32,217.46501
SE33,208.83757
SI03,313.25296
SI04,433.96896
SK01,156.69589
SK02,171.82263
SK03,200.01254
SK04,183.90341
TR10,209.90497
TR21,180.22871
UKE4,235.55542
UKF1,204.59843
UKF2,184.34698
UKF3,187.27849
UKG1,202.37819
UKG2,217.73433
UKG3,200.40625
UKH1,193.06262
UKH2,177.30867
UKH3,182.80962
UKI3,176.07292
UKI4,176.07292
UKI5,174.60579
UKI6,182.63164
UKI7,179.27937
UKJ1,190.07178
UKJ2,235.07805
UKJ3,232.1291
UKJ4,211.1999
NO09,402.90787
NO0A,591.37445
NO0B,235.87775
HR05,241.31223
HR06,234.19853
NO02,248.58688
NO06,368.37347
NO07,320.35825
NO08,279.17224
