nuts,July Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
ITG1,5.383125
LT01,99.66902
LT02,94.06376
LU00,80.71362
PL22,110.035675
PL41,89.25755
PL42,87.15147
PT18,4.694229
PT20,0.0
PT30,0.0
RO11,101.28827
RO12,118.8606
RO21,103.45201
RO22,58.696117
RO31,82.89982
RO32,78.438484
ITH3,110.06833
ITH4,124.62398
ITH5,55.804848
ITI1,31.9637
ITI2,34.53146
ITI3,39.18656
ITI4,27.712234
LI00,220.14743
FI1D,95.6308
TR82,32.07598
TR83,23.600954
TR90,101.49775
TRA1,35.294724
TRA2,1.9035945
PL43,83.04761
PL51,100.24907
PL52,98.89452
PL61,93.71958
PL62,96.082924
PL63,92.70397
PL71,88.373436
PL72,96.62109
PL81,99.38416
PL82,116.04089
PL84,94.78244
PL91,87.429016
PL92,89.90509
PT11,25.263805
PT15,1.7789122
TRB1,10.32005
TRB2,0.74469805
TRC1,2.947641
RS12,53.97741
RS21,65.461685
RS22,55.91418
SE11,69.38848
SE12,83.279526
NL33,81.95348
NL34,79.94335
NL41,83.09814
NL42,81.85633
PL21,121.650955
UKM6,94.27803
TR22,13.010747
TRC2,1.5270808
TRC3,0.3031999
UKC1,70.06662
UKC2,73.73326
UKD1,89.95518
UKD3,84.75377
UKD4,86.53629
UKD6,74.17525
UKD7,80.37209
UKE1,64.172066
UKE2,72.12611
UKE3,69.32407
RO41,79.23605
RO42,82.92412
RS11,57.62544
TR41,16.984121
TR42,32.489956
TR51,9.771868
TR52,7.9593043
TR61,9.638746
TR62,14.312814
TR63,8.474073
TR71,8.6753435
TR72,11.429015
TR81,49.83143
UKK1,61.523983
UKK2,62.708534
UKK3,63.075317
UKK4,68.4295
UKL1,80.433975
UKL2,77.89956
UKM5,76.49224
UKM7,89.111176
UKM8,96.24131
UKM9,87.27774
UKN0,85.21413
SE21,82.26448
SE22,78.7933
SE23,92.19722
SE31,92.06594
SE32,104.85192
SE33,112.24084
SI03,100.6269
SI04,108.275085
SK01,73.04816
SK02,78.53644
SK03,102.70167
SK04,105.54147
TR10,22.53116
TR21,24.721365
UKE4,75.73253
UKF1,67.5546
UKF2,61.542362
UKF3,63.381847
UKG1,62.248165
UKG2,67.40085
UKG3,65.229385
UKH1,58.957138
UKH2,60.235783
UKH3,56.558693
UKI3,60.648075
UKI4,60.648075
UKI5,59.69371
UKI6,63.11075
UKI7,59.40694
UKJ1,59.75773
UKJ2,54.244095
UKJ3,54.42943
UKJ4,59.053593
NO09,100.89149
NO0A,145.88875
NO0B,29.182465
HR05,72.54956
HR06,76.391426
NO02,117.86979
NO06,132.56512
NO07,116.2597
NO08,100.165535
