nuts,August Total Precipitation (mm) (1981 - 2010)
DK03,80.45674
DK04,78.54262
ES41,29.703922
ES42,17.671791
HU23,66.10283
HU31,66.30209
HU32,63.600792
HU33,58.181126
IE04,109.41544
EE00,91.634224
EL30,4.495195
EL41,1.398975
EL43,2.0435474
EL51,28.850384
EL52,34.66096
FI20,69.42354
FR10,57.9688
FRB0,55.70856
FRC1,72.5523
FRC2,110.933945
FRD1,57.23959
FRD2,61.029156
FRE1,68.46376
FRE2,65.648766
FRF1,91.98842
NL13,78.89297
NL21,77.30944
NL22,76.72659
NL23,83.86778
NL31,79.77938
NL32,89.14371
ITG2,11.095912
ITH1,143.77614
ITH2,146.58208
FRI3,54.349174
FRJ1,64.54489
FRJ2,86.841705
FRK1,84.149826
FRK2,97.669365
FRL0,49.171303
FRM0,22.069128
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.463286
TR32,5.091233
TR33,9.788502
HR03,70.97639
HR02,75.267204
HU11,59.267376
HU12,62.89687
HU21,67.41554
HU22,76.34477
PT16,17.322971
PT17,6.711672
FRF2,72.31414
FRF3,79.70558
FRG0,47.661526
FRH0,50.02834
FRI1,72.72741
FRI2,79.766174
ITC4,115.15323
ITF1,50.140068
ITF2,41.514523
ITF3,29.316349
ITF4,21.260143
ITF5,24.044563
ITF6,24.576971
ITG1,11.268413
LT01,85.93
LT02,83.32077
LU00,78.091835
PL22,92.13904
PL41,72.39086
PL42,78.42623
PT18,8.004546
PT20,0.0
PT30,8.928424
RO11,95.001144
RO12,107.995995
RO21,86.503174
RO22,52.61479
RO31,69.54758
RO32,56.910595
ITH3,119.133156
ITH4,142.17548
ITH5,70.7859
ITI1,48.113297
ITI2,47.413418
ITI3,54.095642
ITI4,40.275497
LI00,224.87122
FI1D,84.464096
TR82,37.38174
TR83,27.730532
TR90,100.60789
TRA1,37.892525
TRA2,51.215397
PL43,75.366875
PL51,86.897606
PL52,81.346695
PL61,72.34157
PL62,79.836075
PL63,83.47774
PL71,72.00412
PL72,76.675415
PL81,79.08085
PL82,90.145805
PL84,76.99508
PL91,71.95587
PL92,72.1543
PT11,30.158161
PT15,4.1012664
TRB1,8.086123
TRB2,13.844189
TRC1,2.6896968
RS12,57.7047
RS21,69.09392
RS22,58.805897
SE11,73.58218
SE12,81.165565
NL33,80.020164
NL34,72.87756
NL41,74.7984
NL42,74.76816
PL21,97.70701
UKM6,115.89553
TR22,10.256646
TRC2,1.517762
TRC3,2.5164366
UKC1,75.50914
UKC2,77.34048
UKD1,107.50818
UKD3,92.885735
UKD4,105.19769
UKD6,80.2924
UKD7,92.702545
UKE1,66.34505
UKE2,78.63477
UKE3,72.46284
RO41,74.54947
RO42,80.70669
RS11,59.98637
TR41,17.963764
TR42,39.37243
TR51,12.631563
TR52,6.533703
TR61,9.114864
TR62,15.968112
TR63,7.7833376
TR71,7.608613
TR72,10.543153
TR81,52.475914
UKK1,63.432686
UKK2,65.92732
UKK3,69.314
UKK4,69.4181
UKL1,90.78261
UKL2,78.67969
UKM5,81.40662
UKM7,94.74869
UKM8,115.516396
UKM9,101.2737
UKN0,97.62946
SE21,74.79849
SE22,77.48636
SE23,94.04616
SE31,94.58776
SE32,96.55311
SE33,92.19043
SI03,116.95495
SI04,133.8575
SK01,72.50794
SK02,76.87783
SK03,93.01329
SK04,89.79611
TR10,26.952135
TR21,18.133993
UKE4,81.098404
UKF1,70.76996
UKF2,61.896698
UKF3,64.36468
UKG1,61.161602
UKG2,68.16369
UKG3,63.40277
UKH1,62.637955
UKH2,58.95658
UKH3,58.663654
UKI3,59.46052
UKI4,59.46052
UKI5,59.131905
UKI6,61.938522
UKI7,58.97276
UKJ1,60.40207
UKJ2,59.69803
UKJ3,60.751118
UKJ4,59.844696
NO09,119.49614
NO0A,160.74535
NO0B,47.638367
HR05,86.27393
HR06,85.90646
NO02,108.55531
NO06,119.785706
NO07,98.13714
NO08,106.40864
