nuts,July Mean Temperature (°C) (1981 - 2010)
FI1C,17.164331
DEA1,18.421717
DEA2,17.632868
DEA3,18.240137
DEA4,17.781092
DEA5,17.235254
DEB1,17.726465
DEB2,17.340204
DEB3,19.053308
DEC0,18.413172
DED2,18.285852
DED4,17.286554
DED5,18.950647
DEE0,18.498896
DEF0,17.26922
DEG0,17.471918
DK01,17.111414
DK02,17.238092
DK03,16.73385
DK04,16.422266
ES41,20.353296
ES42,24.597712
HU23,21.667963
HU31,21.201807
HU32,22.163935
HU33,22.187769
IE04,14.780359
EE00,17.502924
EL30,26.152277
EL41,24.48202
EL43,24.941767
EL51,23.609491
EL52,24.4461
FI20,16.12356
FR10,19.105585
FRB0,19.640345
FRC1,19.860437
FRC2,19.102839
FRD1,17.531366
FRD2,17.731867
FRE1,17.663202
FRE2,18.244867
FRF1,19.029932
NL13,17.392176
NL21,17.760828
NL22,18.022303
NL23,17.547876
NL31,17.756495
NL32,17.017542
ITG2,23.92019
ITH1,12.162561
ITH2,15.495874
FRI3,20.1654
FRJ1,20.675837
FRJ2,19.623072
FRK1,18.50274
FRK2,18.329218
FRL0,20.044703
FRM0,22.713648
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,25.852472
TR32,25.666407
TR33,23.197992
HR03,22.408411
HR02,21.765558
HU11,21.669764
HU12,21.553766
HU21,21.267603
HU22,21.272486
PT16,21.415186
PT17,20.924616
FRF2,18.885096
FRF3,18.690607
FRG0,19.049952
FRH0,17.346186
FRI1,20.647394
FRI2,19.114252
ITC4,20.436945
ITF1,21.413446
ITF2,22.327997
ITF3,22.900995
ITF4,25.028925
ITF5,23.568048
ITF6,23.722498
ITG1,24.596125
LT01,17.886896
LT02,17.81347
LU00,17.329798
PL22,18.390162
PL41,18.826654
PL42,18.06283
PT18,23.595484
PT20,-273.15
PT30,20.547297
RO11,19.022333
RO12,17.642878
RO21,19.399225
RO22,22.436365
RO31,22.02917
RO32,23.233759
ITH3,20.833582
ITH4,19.698328
ITH5,23.276758
ITI1,22.644037
ITI2,22.17489
ITI3,22.87359
ITI4,22.453974
LI00,14.713984
FI1D,15.364008
TR82,20.348505
TR83,20.815882
TR90,17.916834
TRA1,17.65423
TRA2,17.881556
PL43,19.145716
PL51,18.279657
PL52,18.872705
PL61,18.333582
PL62,17.936853
PL63,17.57104
PL71,18.877344
PL72,18.893946
PL81,18.97738
PL82,18.49566
PL84,18.276758
PL91,18.83996
PL92,18.652857
PT11,20.290491
PT15,22.56869
TRB1,23.564936
TRB2,20.432306
TRC1,28.043116
RS12,22.60769
RS21,20.207361
RS22,20.940546
SE11,16.832941
SE12,16.975733
NL33,17.613092
NL34,17.939905
NL41,18.276484
NL42,18.375483
PL21,17.82113
UKM6,13.014948
TR22,23.848597
TRC2,30.26864
TRC3,27.895685
UKC1,14.902491
UKC2,14.666101
UKD1,14.561609
UKD3,15.425135
UKD4,15.188684
UKD6,15.934626
UKD7,15.946161
UKE1,16.05871
UKE2,15.157404
UKE3,16.07464
RO41,21.790949
RO42,20.14483
RS11,22.651606
TR41,22.572199
TR42,21.258783
TR51,22.937769
TR52,23.190302
TR61,23.790705
TR62,24.281397
TR63,24.727411
TR71,23.214716
TR72,20.20376
TR81,20.349756
UKK1,16.683496
UKK2,16.42779
UKK3,16.034327
UKK4,15.954401
UKL1,15.289606
UKL2,15.440088
UKM5,13.495111
UKM7,13.795496
UKM8,14.418055
UKM9,14.255915
UKN0,14.553858
SE21,16.657587
SE22,16.727564
SE23,16.633081
SE31,15.848749
SE32,14.091211
SE33,13.599451
SI03,19.861444
SI04,19.507929
SK01,20.890436
SK02,20.053492
SK03,17.595026
SK04,18.307184
TR10,23.724451
TR21,24.12057
UKE4,15.411829
UKF1,16.155603
UKF2,16.781153
UKF3,16.712458
UKG1,16.417383
UKG2,15.851435
UKG3,16.51266
UKH1,16.796778
UKH2,17.120996
UKH3,17.185846
UKI3,17.31756
UKI4,17.31756
UKI5,17.272455
UKI6,17.24792
UKI7,17.16833
UKJ1,16.873041
UKJ2,16.82995
UKJ3,16.85354
UKJ4,17.12115
NO09,14.170496
NO0A,12.4378605
NO0B,4.482019
HR05,21.94726
HR06,21.588282
NO02,12.909876
NO06,12.655329
NO07,11.757196
NO08,14.527033
