nuts,October Mean Temperature (°C) (1981 - 2010)
SE12,6.5296264
NL33,11.396479
NL34,11.518152
NL41,10.980188
NL42,10.804804
PL21,8.109949
UKM6,9.44845
TR22,15.667475
TRC2,17.464045
TRC3,15.361231
UKC1,9.537104
UKC2,9.469965
UKD1,9.373163
UKD3,9.742792
UKD4,9.926081
UKD6,10.208429
UKD7,10.842218
UKE1,10.649805
UKE2,9.61413
UKE3,10.04516
RO41,10.811518
RO42,10.221369
RS11,12.522669
TR41,13.659998
TR42,13.474817
TR51,12.784845
TR52,13.010004
TR61,14.845118
TR62,16.172602
TR63,16.092463
TR71,12.791651
TR72,10.683496
TR81,12.912012
UKK1,10.8207035
UKK2,11.6540165
UKK3,12.475946
UKK4,11.731012
UKL1,10.959009
UKL2,9.902094
UKM5,8.8632145
UKM7,8.408716
UKM8,9.157587
UKM9,9.509516
UKN0,10.183771
SE21,7.5995727
SE22,8.572229
SE23,7.5459228
SE31,4.6780944
SE32,2.6632323
SE33,0.8471619
SI03,10.172327
SI04,10.364222
SK01,10.312311
SK02,9.676233
SK03,7.5375915
SK04,7.9784484
TR10,16.328028
TR21,15.15951
UKE4,9.54397
UKF1,10.055384
UKF2,10.479914
UKF3,10.796869
UKG1,10.311609
UKG2,9.932947
UKG3,10.332422
UKH1,11.309839
UKH2,10.802881
UKH3,11.456781
UKI3,11.088953
UKI4,11.088953
UKI5,11.049677
UKI6,11.099421
UKI7,10.949793
UKJ1,10.638086
UKJ2,11.905481
UKJ3,11.637873
UKJ4,11.891047
NO09,5.0060973
NO0A,4.393274
NO0B,1.0295044
HR05,11.665064
HR06,11.424524
NO02,1.6630188
NO06,3.60354
NO07,1.422876
NO08,3.715509
