nuts,Autumn Mean Temperature (°C) (1981 - 2010)
PL21,7.8765807
UKM6,9.41955
TR22,15.490595
TRC2,17.160791
TRC3,15.015314
UKC1,9.506464
UKC2,9.437525
UKD1,9.317438
UKD3,9.692408
UKD4,9.8706
UKD6,10.166712
UKD7,10.788233
UKE1,10.568567
UKE2,9.576258
UKE3,10.0099125
RO41,10.639063
RO42,9.996973
RS11,12.242701
TR41,13.343714
TR42,13.132776
TR51,12.476252
TR52,12.762781
TR61,14.638025
TR62,15.742517
TR63,15.537775
TR71,12.50738
TR72,10.222528
TR81,12.572077
UKK1,10.767328
UKK2,11.53924
UKK3,12.40658
UKK4,11.626001
UKL1,10.897211
UKL2,9.880945
UKM5,8.841486
UKM7,8.405115
UKM8,9.140741
UKM9,9.462885
UKN0,10.182398
SE21,7.581018
SE22,8.498133
SE23,7.512689
SE31,4.672876
SE32,2.5511413
SE33,0.6176697
SI03,9.91424
SI04,10.076014
SK01,10.231867
SK02,9.576868
SK03,7.4148192
SK04,7.8505797
TR10,16.133478
TR21,15.070917
UKE4,9.518213
UKF1,10.025446
UKF2,10.458521
UKF3,10.726099
UKG1,10.300806
UKG2,9.914148
UKG3,10.320612
UKH1,11.203211
UKH2,10.753901
UKH3,11.340143
UKI3,11.003412
UKI4,11.003412
UKI5,10.96969
UKI6,10.995142
UKI7,10.881678
UKJ1,10.600031
UKJ2,11.738977
UKJ3,11.514551
UKJ4,11.732874
NO09,5.013971
NO0A,4.3926635
NO0B,1.263208
HR05,11.432642
HR06,11.187067
NO02,1.5050598
NO06,3.5104918
NO07,1.3652588
NO08,3.6821837
