nuts,Annual Mean Temperature (°C) (1981 - 2010)
PL72,8.51333
PL81,8.278681
PL82,8.128046
PL84,7.494928
PL91,8.363184
PL92,8.175531
PT11,12.888422
PT15,16.877588
TRB1,9.809168
TRB2,7.0420165
TRC1,14.916864
RS12,11.8745365
RS21,10.072199
RS22,10.372156
SE11,6.5587096
SE12,6.273828
NL33,10.357782
NL34,10.603205
NL41,10.396784
NL42,10.277277
PL21,7.755548
UKM6,8.463373
TR22,14.386133
TRC2,15.847254
TRC3,13.595545
UKC1,8.765009
UKC2,8.698084
UKD1,8.582727
UKD3,9.116663
UKD4,9.138117
UKD6,9.596216
UKD7,9.991785
UKE1,9.721308
UKE2,8.867395
UKE3,9.419794
RO41,10.573328
RO42,9.847498
RS11,12.090601
TR41,12.35412
TR42,11.8215275
TR51,11.57345
TR52,11.580805
TR61,13.27685
TR62,13.950708
TR63,13.69726
TR71,11.451807
TR72,8.705011
TR81,11.144403
UKK1,10.163721
UKK2,10.574518
UKK3,11.274805
UKK4,10.572657
UKL1,9.911829
UKL2,9.2434025
UKM5,8.001795
UKM7,7.809259
UKM8,8.611261
UKM9,8.710016
UKN0,9.45904
SE21,6.991052
SE22,7.6989684
SE23,7.0283446
SE31,4.540033
SE32,2.4669127
SE33,0.58669436
SI03,9.7356205
SI04,9.628992
SK01,10.273218
SK02,9.564478
SK03,7.3457885
SK04,7.848535
TR10,14.480585
TR21,13.973963
UKE4,8.931116
UKF1,9.455805
UKF2,9.894587
UKF3,10.000025
UKG1,9.757898
UKG2,9.359583
UKG3,9.798883
UKH1,10.221857
UKH2,10.172998
UKH3,10.465235
UKI3,10.415064
UKI4,10.415064
UKI5,10.362818
UKI6,10.375177
UKI7,10.296839
UKJ1,10.046503
UKJ2,10.6774235
UKJ3,10.616632
UKJ4,10.687525
NO09,4.6021667
NO0A,4.0359435
NO0B,-0.020147705
HR05,11.393427
HR06,11.167322
NO02,1.5007263
NO06,3.1723266
NO07,0.95940554
NO08,3.5824828
